"Year","Measure","value"
1989,"Q060-avg",5.58100001818333
1989,"Q090-avg",5.59177778032222
1990,"Q001-avg",4.889999866
1990,"Q003-avg",4.96666653933333
1990,"Q007-avg",5.24571425557143
1990,"Q015-avg",5.26466665253333
1990,"Q030-avg",5.36033333133333
1990,"Q060-avg",5.53183332278333
1990,"Q090-avg",6.21322221751111
1991,"Q001-avg",4.610000134
1991,"Q003-avg",4.70666662866667
1991,"Q007-avg",4.765714305
1991,"Q015-avg",4.893333276
1991,"Q030-avg",4.9990000089
1991,"Q060-avg",5.2233333349
1991,"Q090-avg",5.9212222205
1992,"Q001-avg",3.74000001
1992,"Q003-avg",3.79000004133333
1992,"Q007-avg",4.00285717428571
1992,"Q015-avg",4.2320000172
1992,"Q030-avg",4.3036666632
1992,"Q060-avg",4.54016666806667
1992,"Q090-avg",5.45277776451111
1993,"Q001-avg",4.889999866
1993,"Q003-avg",5.060000102
1993,"Q007-avg",5.09000008457143
1993,"Q015-avg",5.12200005853333
1993,"Q030-avg",5.2016667049
1993,"Q060-avg",5.41333332863333
1993,"Q090-avg",5.90522222517778
1994,"Q001-avg",4.800000191
1994,"Q003-avg",4.88000011466667
1994,"Q007-avg",5.03714282157143
1994,"Q015-avg",5.09266672133333
1994,"Q030-avg",5.29800004956667
1994,"Q060-avg",5.3463333448
1994,"Q090-avg",5.54611111747778
1995,"Q001-avg",4.670000076
1995,"Q003-avg",4.80000003166667
1995,"Q007-avg",4.87285709385714
1995,"Q015-avg",4.92866668713333
1995,"Q030-avg",5.1043333531
1995,"Q060-avg",5.29900000893333
1995,"Q090-avg",5.42411113846667
1996,"Q001-avg",4.630000114
1996,"Q003-avg",4.649999936
1996,"Q007-avg",4.71999992628571
1996,"Q015-avg",4.86666666666667
1996,"Q030-avg",4.88633332253333
1996,"Q060-avg",4.98983332315
1996,"Q090-avg",5.06733332736667
1997,"Q001-avg",7.449999809
1997,"Q003-avg",7.519999981
1997,"Q007-avg",7.58999994814286
1997,"Q015-avg",7.8766666412
1997,"Q030-avg",8.3873333136
