"Year","ANNUAL_MIN_01Day_SW","ANNUAL_MINDOY_01Day_SW","ANNUAL_MIN_03Day_SW","ANNUAL_MINDOY_03Day_SW","ANNUAL_MIN_07Day_SW","ANNUAL_MINDOY_07Day_SW","ANNUAL_MIN_30Day_SW","ANNUAL_MINDOY_30Day_SW","ANNUAL_MIN_DAILY_SW","ANNUAL_MAX_DAILY_SW","ANNUAL_MEAN_DAILY_SW","ANNUAL_TOTALQ_DAILY_SW","ANNUAL_YIELDMM_DAILY_SW","ANNUAL_CUMQ_DAILY_SW","ANNUAL_Date_25P_CUMQ_DAILY_SW","ANNUAL_Date_50P_CUMQ_DAILY_SW","ANNUAL_Date_75P_CUMQ_DAILY_SW","JFM_TOTALQ_DAILY_SW","AMJ_TOTALQ_DAILY_SW","JAS_TOTALQ_DAILY_SW","OND_TOTALQ_DAILY_SW","JFM_YIELDMM_DAILY_SW","AMJ_YIELDMM_DAILY_SW","JAS_YIELDMM_DAILY_SW","OND_YIELDMM_DAILY_SW","JAN_MIN_DAILY_SW","FEB_MIN_DAILY_SW","MAR_MIN_DAILY_SW","APR_MIN_DAILY_SW","MAY_MIN_DAILY_SW","JUN_MIN_DAILY_SW","JUL_MIN_DAILY_SW","AUG_MIN_DAILY_SW","SEP_MIN_DAILY_SW","OCT_MIN_DAILY_SW","NOV_MIN_DAILY_SW","DEC_MIN_DAILY_SW","JAN_MAX_DAILY_SW","FEB_MAX_DAILY_SW","MAR_MAX_DAILY_SW","APR_MAX_DAILY_SW","MAY_MAX_DAILY_SW","JUN_MAX_DAILY_SW","JUL_MAX_DAILY_SW","AUG_MAX_DAILY_SW","SEP_MAX_DAILY_SW","OCT_MAX_DAILY_SW","NOV_MAX_DAILY_SW","DEC_MAX_DAILY_SW","JAN_MEAN_DAILY_SW","FEB_MEAN_DAILY_SW","MAR_MEAN_DAILY_SW","APR_MEAN_DAILY_SW","MAY_MEAN_DAILY_SW","JUN_MEAN_DAILY_SW","JUL_MEAN_DAILY_SW","AUG_MEAN_DAILY_SW","SEP_MEAN_DAILY_SW","OCT_MEAN_DAILY_SW","NOV_MEAN_DAILY_SW","DEC_MEAN_DAILY_SW","JAN_P50_DAILY_SW","FEB_P50_DAILY_SW","MAR_P50_DAILY_SW","APR_P50_DAILY_SW","MAY_P50_DAILY_SW","JUN_P50_DAILY_SW","JUL_P50_DAILY_SW","AUG_P50_DAILY_SW","SEP_P50_DAILY_SW","OCT_P50_DAILY_SW","NOV_P50_DAILY_SW","DEC_P50_DAILY_SW","JAN_P80_DAILY_SW","FEB_P80_DAILY_SW","MAR_P80_DAILY_SW","APR_P80_DAILY_SW","MAY_P80_DAILY_SW","JUN_P80_DAILY_SW","JUL_P80_DAILY_SW","AUG_P80_DAILY_SW","SEP_P80_DAILY_SW","OCT_P80_DAILY_SW","NOV_P80_DAILY_SW","DEC_P80_DAILY_SW","JAN_P90_DAILY_SW","FEB_P90_DAILY_SW","MAR_P90_DAILY_SW","APR_P90_DAILY_SW","MAY_P90_DAILY_SW","JUN_P90_DAILY_SW","JUL_P90_DAILY_SW","AUG_P90_DAILY_SW","SEP_P90_DAILY_SW","OCT_P90_DAILY_SW","NOV_P90_DAILY_SW","DEC_P90_DAILY_SW","Oct_to_Sept_TOTALQ_DAILY_SW","Oct_to_Sept_YIELDMM_DAILY_SW","ONDJFM_TOTALQ_DAILY_SW","AMJJAS_TOTALQ_DAILY_SW","ONDJFM_YIELDMM_DAILY_SW","AMJJAS_YIELDMM_DAILY_SW"
1965,3.539999962,276,3.74666666966667,276,4.22428570471429,276,5.07000006023333,223,3.539999962,196,47.7262465195479,1505094910.24046,1822.1488017439,17420.079979635,55,141,327,565669440.528768,232522271.420861,48689855.9959392,658213342.294896,684.82983114863,281.503960557943,58.9465568958102,796.86845314152,28.89999962,96.30000305,31.70000076,28.89999962,8.069999695,6.510000229,4.809999943,4.5,4.110000134,3.539999962,72.80000305,68.80000305,92.59999847,196,86.69999695,70.80000305,56.09999847,15.89999962,9.229999542,11.39999962,9.659999847,67.09999847,171,188,45.1032258306452,124.08571434,54.0161291564516,41.9033331543333,38.00129029,8.53633332256667,5.49806453316129,6.48967741380645,6.3973333199,33.4487096801613,96.1299997966667,119.270967299355,39.59999847,117,54.90000153,32.699998855,40.5,7.929999828,5.150000095,5.239999771,5.9149999615,25.70000076,95.10000229,111,33.70000076,101.4,38.20000076,29.70000076,34.29999924,7.360000134,4.960000038,4.960000038,4.960000038,19.39999962,79.89999695,89.19999695,29.70000076,98.679998014,34.29999924,29.39999962,21.60000038,6.940000057,4.960000038,4.960000038,4.7789999487,6.230000019,76.05999756,82.69999695,1132277554.21294,1370.79607047571,1143909313.06929,281212127.4168,1384.87810298945,340.450517453753
1966,5.800000191,215,5.93666680666667,224,6.30571433485714,225,6.4456666947,244,5.800000191,362,60.3254518850712,1902423450.64761,2303.1760903724,22018.789938051,48,129,341,732991673.4768,314576352.977789,74649599.7541056,780205824.438912,887.399120431961,380.843042345991,90.3748181042441,944.559109490208,57.20000076,54.40000153,46.70000076,43,7.360000134,6.769999981,6.090000153,5.800000191,6.260000229,6.369999886,30.60000038,119,260,119,117,140,43.90000153,31.70000076,26.89999962,13.30000019,8.75,43.29999924,182,362,123.841935065806,83.4035709921429,74.493546763871,73.0400001536667,31.0096776872258,16.2809999467667,13.9138708580323,6.79903228825806,7.39666665396667,16.8729032548387,61.636666806,214.774193548387,111,81.70000076,69.69999695,72.80000305,35.70000076,11,14,6.539999962,7.3350000385,7.820000172,54.100000385,182,91.19999695,59.70000076,54.40000153,51.69999924,23.39999962,6.9280000684,6.480000019,6.03000021,6.6980000494,6.940000057,35.760000608,165,66.80000305,58,51.29999924,47.369998547,13.69999981,6.769999981,6.480000019,6.03000021,6.5769999031,6.650000095,31.640000722,162,1780430968.50359,2155.48543402372,1391205015.7717,389225952.731894,1684.26757357348,471.217860450235
1967,4.110000134,243,4.110000134,256,4.32000010371429,269,4.6523333869,270,4.110000134,213,61.709917751663,1946083966.21644,2356.0338574049,22524.119979357,39,111,314,874480319.932608,258498431.058672,44503776.3432672,768601438.881898,1058.69288127434,312.952095712678,53.8786638538344,930.510216564041,106,58.59999847,49.59999847,34.5,28.10000038,6.230000019,5.800000191,4.110000134,4.110000134,4.699999809,51,49.29999924,213,187,138,77.59999847,39.09999847,32.59999847,7.389999866,6.739999771,6.510000229,167,156,187,143.387096774194,111.246428353214,82.6258066235484,49.7533330273333,32.9645161780645,15.9126665588333,6.55161293103226,5.53870971732258,4.6763333958,70.1725805957742,94.946666718,124.906451195161,124,103,81,46.70000076,33.09999847,11.2950000755,6.510000229,5.380000114,4.449999809,73.09999847,98.54999924,118,118,77.62000122,64,39.09999847,30.29999924,7.21999979,6.289999962,5.099999905,4.2960001948,47.90000153,65.540000152,86.69999695,113,68.079998014,57.20000076,36.739999392,29.70000076,6.849999905,6.090000153,4.53000021,4.1820000647,7.559999943,54.230001453,85,1957688351.77346,2370.08275033106,1654686144.37152,303002207.401939,2003.25199076455,366.830759566512
1968,5.099999905,219,5.2233332,220,5.25857128428571,223,6.56899989446667,237,5.099999905,450,69.525027298541,2198548223.24538,2661.68065768206,25446.159991266,32,84,310,1148152320.92362,227285566.673501,93315455.5851936,729794880.063072,1390.01491637242,275.164124302059,112.972706519605,883.528910487981,67.69999695,90,74.80000305,36.79999924,10.10000038,8.069999695,6.400000095,5.099999905,12.60000038,14.39999962,72.80000305,88.09999847,450,211,135,76.5,39.59999847,20.79999924,16.29999924,16,19.29999924,122,141,177,204.73870948129,136.617241168621,96.129032996129,53.0633330026667,21.1548386545161,12.7639998759,11.4912902465161,7.94225800409677,15.919999981,52.2419358525806,100.079999541667,123.380645259677,203,124,98.30000305,50.14999962,19,11.799999715,10.89999962,6.480000019,15.349999905,38.20000076,89.45000076,121,90.90000153,106,79,39.319998928,13,8.9640003208,8.779999733,5.46999979,13.460000038,21.20000076,80.240000918,106,76.19999695,95.079997254,74.80000305,38.20000076,12.80000019,8.579999924,7.670000076,5.099999905,12.689999867,16.10000038,78.69999695,96,2237354782.06421,2708.66196375812,1916753759.80551,320601022.258694,2320.52513293646,388.136830821664
1969,4.980000019,228,4.980000019,238,5.07142857142857,240,5.35766660363333,256,4.980000019,150,47.5065479025945,1498166494.65622,1813.76088941431,17339.889984447,81,126,295,443759039.702784,540264385.594685,76129631.142912,438013438.21584,537.238546855671,654.073106046834,92.1666236596998,530.282612852107,30,28.29999924,36.5,81.30000305,58,6.510000229,6.090000153,4.980000019,5.239999771,24.39999962,23.5,34,98.5,65.69999695,103,141,79,64.80000305,12.69999981,6.090000153,36.20000076,39.09999847,49.59999847,150,60.3290325290323,45.7821425717857,63.9999998758065,104.380000305,69.1354840170968,32.6153334925667,8.17451610877419,5.53677409677419,15.2026664569333,31.7322578422581,40.3866662336667,92.719354813871,61.20000076,42.600000385,73.09999847,103,70.5,32.849999425,7.650000095,5.659999847,7.180000067,32.79999924,42.199998855,104,36.79999924,34.940000152,40.5,89.68000183,64.59999847,6.880000114,6.650000095,5.099999905,5.320000172,25.20000076,36.440000152,40.20000076,33.70000076,30.95000038,40.5,85.5,59.70000076,6.645000076,6.510000229,4.980000019,5.239999771,25.20000076,28.89999962,37.40000153,1789947936.50345,2167.00718705019,1173553919.76586,616394016.737597,1420.76745734365,746.239729706534
1970,4.25,203,4.34333340333333,204,4.642857211,206,5.03566668833333,230,4.25,153,36.8476712497973,1162028160.53361,1406.81375367265,13449.400006176,48,105,327,492134398.677216,222619104.751594,46146239.826336,401128417.278461,595.804356752077,269.514654662946,55.8671184338208,485.627623823802,39.09999847,48.09999847,39.90000153,24.70000076,12.5,5.46999979,4.25,4.699999809,5.239999771,6.230000019,19.5,45,150,80.69999695,72.19999695,138,23.79999924,11.80000019,5.659999847,5.320000172,11.60000038,27.20000076,71.40000153,153,71.651612803871,66.5607141757143,51.9709674467742,60.7633335113333,17.2290323929032,7.32033330596667,5.24387104290323,5.06806442809677,7.14766661296667,13.3061291166774,43.7199999483333,94.1483875396774,62,65.80000305,46.70000076,55.34999847,18.70000076,6.5549998285,5.320000172,5.179999828,5.539999962,9.229999542,48.85000038,88.09999847,47,60.59999847,40.5,37.220001224,12.89999962,6.1900000572,4.980000019,4.699999809,5.239999771,7.309999943,22.720000076,62.29999924,44.70000076,57.289999009,39.90000153,33.260001377,12.60000038,5.9930001737,4.53000021,4.699999809,5.239999771,6.599999905,20.470000076,48.40000153,1198913181.47099,1451.46874270095,930147836.893056,268765344.57793,1126.08696960418,325.381773096767
1971,6,223,6.29333337133333,224,6.71857139028571,225,7.91999998086667,237,6,187,55.6226576845945,1754116132.74137,2123.62727934791,20302.270054877,48,106,266,768821761.452384,449962561.698624,104791967.907293,430539841.683072,930.776950910877,544.748864041918,126.866789234011,521.234675161104,44.70000076,83.5,61.40000153,52.40000153,51.79999924,13.39999962,9.460000038,6,7.670000076,11.19999981,39.90000153,41.29999924,172,187,151,92.30000305,74.80000305,52.70000076,45,13.5,17.20000076,42.20000076,127,83.80000305,96.7129034232258,119.817857197143,82.1096777151613,71.380000051,65.9193554532258,34.0999999693333,18.5612902797097,8.48064514887097,12.4856666880333,21.8580645280645,81.8700000766667,59.6580650583871,91.5,108.5,77,73.599998475,66.30000305,33.14999962,16.39999962,7.329999924,12.30000019,15,78.75,58.90000153,51.29999924,96.919999694,69.69999695,61.360000608,58,19.59999924,13.19999981,6.909999847,9.149999809,14.19999981,59.79999924,50.40000153,47.59999847,92.979999541,62.59999847,57.3,56.40000153,14.379999639,9.970000267,6.570000172,8.66499958,14.10000038,56.370001224,46.40000153,1724704708.33676,2088.02022801061,1169950178.73084,554754529.605917,1416.40457473468,671.615653275928
1972,5.829999924,304,6,304,6.14142853885714,262,6.38533333146667,262,5.829999924,425,53.932295065877,1705468607.49119,2064.73197032832,19739.219994111,62,98,302,797618879.407296,363951359.22672,94936320.3468096,448962048.510365,965.640289839341,440.619078966973,114.935012526404,543.537588995599,35.09999847,51.29999924,91.69999695,51.29999924,20.39999962,10,6.679999828,6.119999886,5.949999809,5.829999924,7.21999979,27,178,180,185,116,54.09999847,25.20000076,41.90000153,8.159999847,19.79999924,15,50.09999847,425,67.1225803745161,91.2551724665517,145.306451612903,79.026666769,43.6322577687097,16.299999905,19.1809678693871,6.62903228883871,9.95633330363333,9.13193545803226,35.7276669026,123.916129020323,42.5,77.30000305,143,79.90000153,47.59999847,16.19999981,12.30000019,6.510000229,6.4850001335,8.5,37.550001145,47,38.5,55.679999544,117,57.280000306,40.79999924,11.379999734,9.880000114,6.289999962,6.119999886,6.679999828,32.759999848,33.40000153,36.79999924,54.09999847,110,54.640000531,24.79999924,10.989999962,7.21999979,6.119999886,6.0539999487,6.170000076,18.8550003515,28.89999962,1687046400.6639,2042.42905649382,1228158721.09037,458887679.57353,1486.87496500045,555.554091493377
1973,3.109999895,285,4.46999979,253,4.56999996714286,279,4.83566660873333,278,3.109999895,337,53.3354520933425,1681986817.21565,2036.30365280345,19467.44001407,30,149,341,740543040.856224,159158304.296438,49729248.1379808,732556223.925005,896.541211690344,192.685598421838,60.2049008934392,886.871941797827,92.90000153,38.20000076,38.79999924,8.670000076,8.779999733,11,5.659999847,4.389999866,4.130000114,3.109999895,28.29999924,110,270,107,79.30000305,38.20000076,43.90000153,38.79999924,11,6.739999771,6,34,194,337,162.106451711613,64.08214283,56.5000002454839,20.6506666493667,19.9609678632258,20.126666673,7.96225812345161,5.81548390851613,4.9486666202,11.5987095755484,79.536666743,184.935483870968,159,56.800001145,53.20000076,23.25,16.70000076,18.69999981,7.650000095,6,4.809999943,7.869999886,84.549999235,184,122,45.740000156,47.59999847,9.436000061,9.909999847,14.779999924,6.510000229,5.239999771,4.46999979,4.809999943,32.479998776,124,106,41.270000073,40.20000076,8.779999733,9.569999695,12.179999829,6.170000076,4.980000019,4.4619997976,4.46999979,29.70000076,116,1398392641.80101,1692.96930000122,1189505089.36659,208887552.434419,1440.07880068594,252.890499315278
1974,3.279999971,308,3.443333387,309,3.712857178,309,5.64000001743333,312,3.279999971,343,69.4606575554164,2190511296.66761,2651.95072235788,25353.140007727,37,91,204,1083352320.92448,512118718.942464,105398496.15431,489641760.646358,1311.56455317734,619.998449082886,127.601084932579,592.786635165083,49.59999847,87.80000305,62.90000153,60.29999924,30.89999962,16.5,11.60000038,6.630000114,6.460000038,3.339999914,3.279999971,88.09999847,343,246,202,154,67.69999695,64.80000305,38.5,11.89999962,8.270000458,8.720000267,146,227,162.92258035,137.457143238571,117.400000295806,99.0733332316667,51.3838704622581,45.4066668826667,24.3483871032258,7.93806452909677,7.3003333728,6.51483872632258,51.9763335148333,125.996774242581,165,122,114,94.700000765,53.5,50.550001145,22.39999962,7.480000019,7.194999933,6.800000191,37.200000765,119,70.19999695,94.46000061,88.09999847,67.819999694,41.29999924,32.000001148,17.39999962,6.909999847,6.8879999158,4.420000076,5.9120001794,108,60,91.140000915,75.90000153,62.909998699,39.59999847,22.15000038,15.60000038,6.800000191,6.7830001833,4.159999847,3.625000095,101,2433425759.94626,2946.03602899063,1815908544.84948,617517215.096774,2198.43649497516,747.599534015465
