"","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012"
"FEB_MEAN_DAILY_SW",124.08571434,83.4035709921429,111.246428353214,136.617241168621,45.7821425717857,66.5607141757143,119.817857197143,91.2551724665517,64.08214283,137.457143238571,51.2178570885714,96.0793101862069,60.4464288442857,61.1535714021429,74.8714289325,98.1172409062069,99.4249997821429,123.1642859325,177.014285223214,91.6620689917241,31.7571427475,107.392857142857,109.496428898214,68.2000002375862,56.21428517,105.199999945357,145.932143075357,155.75862069,48.496429035,77.3999997553571,157.392857415357,94.9586204003448,90.4142855232143,128.282142639286,155.464285714286,59.4482762572414,49.3107141767857,86.2821430478571,97.4607142035714,78.4896550675862,75.8499998364286,114.892857278571,83.9321428025,52.8448278493103,36.9607139996429,87.0535711564286,86.5821426932143,94.0896551206897
"MAR_MEAN_DAILY_SW",54.0161291564516,74.493546763871,82.6258066235484,96.129032996129,63.9999998758065,51.9709674467742,82.1096777151613,145.306451612903,56.5000002454839,117.400000295806,69.35806422,68.2161290570968,78.3419355574194,41.7741935490323,101.758064269355,81.7548388822581,47.6354839564516,72.2677417874194,115.432258113548,84.6935483867742,30.8451611306452,102.877419256452,100.254839004516,64.5580643680645,64.0709678893548,67.4548385383871,48.2483873683871,49.8354842270968,58.0870964909677,135.596774193548,118.274193794516,62.4677419364516,129.529032061613,69.6290322587097,107.306451612581,55.3032257325806,24.6064516193548,68.3387095535484,124.900000049032,49.3870967132258,30.7290320245161,55.4000000490323,137.612903225806,56.2612905196774,51.2677420345161,68.1032257080645,112.093548067419,85.6612900754839
"APR_MEAN_DAILY_SW",41.9033331543333,73.0400001536667,49.7533330273333,53.0633330026667,104.380000305,60.7633335113333,71.380000051,79.026666769,20.6506666493667,99.0733332316667,44.0466664636667,69.626666132,48.183333461,33.966666731,35.9166666666667,58.0066665646667,57.7433340073333,37.5966667183333,41.330000336,64.723333104,52.609999465,50.5233333586667,43.6100000386667,81.4499998723333,74.160000101,45.2533331556667,39.1400000253333,17.7766665463333,57.723333487,49.7366665516667,43.403333155,61.9900001526667,92.679999669,26.3666666026667,59.103333791,42.9700000766667,38.1866668066667,60.2099995936667,89.686666743,31.5800001146667,93.8266666413333,46.296666399,70.7833334596667,36.9633333206667,54.7633331293333,85.716666666,77.2066669466667,79.4999999996667
"MAY_MEAN_DAILY_SW",38.00129029,31.0096776872258,32.9645161780645,21.1548386545161,69.1354840170968,17.2290323929032,65.9193554532258,43.6322577687097,19.9609678632258,51.3838704622581,52.074193893871,61.5677418858064,20.4196773953548,18.2096775112903,21.5903225867742,21.7999998832258,41.3548391406452,36.7322581506452,14.2200000821935,55.6548390548387,35.9677418129032,45.3225804609677,24.2377418090323,39.716129426129,26.6151610343548,16.7022579869677,17.5467741873871,15.9125807205806,43.6774195393548,16.1148385852581,13.1006452495484,41.3032254858065,72.8322577322581,11.6583870459355,57.0032257570968,41.3516127058065,40.729032516129,31.1451611680645,20.3032258245161,13.4758065129355,38.2483874287097,26.7580643935484,33.9193545932258,50.9935486703226,36.8064518587097,43.2806452480645,53.5483872203226,50.9935485477419
"JUN_MEAN_DAILY_SW",8.53633332256667,16.2809999467667,15.9126665588333,12.7639998759,32.6153334925667,7.32033330596667,34.0999999693333,16.299999905,20.126666673,45.4066668826667,20.7166667303333,32.78666668,13.0686666331667,11.3566666128667,6.7090000075,8.19399997393333,19.4113334975333,16.706666692,7.36699999173333,24.6826665558333,8.5566666603,16.5290000119,18.873333232,27.2126667661,6.348666636,30.2799999395,7.2719999949,7.1936666489,18.9233332003333,10.9536666554667,5.32733329136667,11.253666576,32.4566663103333,5.374333334,51.7333333333333,28.9533332193333,17.8033333776667,18.4686666489333,9.67566669763333,6.7036666552,17.7613334974333,18.4123332820667,13.9946666876,23.2733335813333,10.4543333054,29.5883334315333,29.5190000849333,19.489999962
"JUL_MEAN_DAILY_SW",5.49806453316129,13.9138708580323,6.55161293103226,11.4912902465161,8.17451610877419,5.24387104290323,18.5612902797097,19.1809678693871,7.96225812345161,24.3483871032258,10.7758065035161,14.8899999125161,6.06999998712903,6.45516127932258,4.69096774445161,10.1348387042258,14.5219354013871,10.3564516647742,23.7096774816129,10.0283871310323,5.52870969616129,8.37096772667742,7.69548383825806,5.59193551151613,5.96838706535484,6.4758064516129,5.32741934251613,6.99677415045161,7.33225803996774,6.87354839993548,5.27806457403226,5.32161292719355,35.4354841177419,4.7322580583871,21.3225805529032,8.17419355151613,8.89677413822581,7.33741932516129,6.29580642322581,3.06870967348387,8.56322586912903,4.44999997841935,6.84129028935484,9.10064517293548,6.44935484858065,5.93677420767742,8.70225801793548,12.8470967815806
"AUG_MEAN_DAILY_SW",6.48967741380645,6.79903228825806,5.53870971732258,7.94225800409677,5.53677409677419,5.06806442809677,8.48064514887097,6.62903228883871,5.81548390851613,7.93806452909677,8.99290315564516,8.82387096648387,5.68290327448387,5.45129033051613,4.73387095235484,7.13806443087097,6.67161290877419,5.57322582129032,7.26645165106452,5.28354835516129,3.88354836745161,5.32516124948387,4.94741933574194,4.8332257886129,5.48870969590323,5.38935484412903,9.71935487580645,4.31806451274194,5.46548386551613,5.40580647990323,5.67870973770968,5.04806450870968,8.86838706845161,4.37193550606452,8.35612901570968,5.665806478,5.00064514525806,5.84322580219355,5.05225804545161,3.10483873280645,5.32193546912903,4.25129035229032,7.33322586551613,6.50419355212903,5.97741934558065,4.92645160612903,7.31032260774194,6.10354840367742
"SEP_MEAN_DAILY_SW",6.3973333199,7.39666665396667,4.6763333958,15.919999981,15.2026664569333,7.14766661296667,12.4856666880333,9.95633330363333,4.9486666202,7.3003333728,17.4500002216667,12.5676666262,8.11433329596667,24.3523333869333,20.2280000051333,7.0450000127,8.0213333447,6.11866661706667,11.4670000709667,9.840666644,5.9389999866,5.80433333713333,4.84300001456667,7.3043334005,5.72833331426667,7.2183333079,31.8566667876667,5.53333331746667,6.41833337136667,5.32899999623333,5.89133334163333,4.95733331043333,19.8910000646667,4.149000001,6.5006666978,7.5816667079,7.00899996763333,5.96733339626667,3.10399998886667,7.46466666846667,5.88999999356667,2.9776666721,8.99600003556667,13.9076667306333,5.63333330156667,5.47666668886667,8.40300002086667,5.101000007
"OCT_MEAN_DAILY_SW",33.4487096801613,16.8729032548387,70.1725805957742,52.2419358525806,31.7322578422581,13.3061291166774,21.8580645280645,9.13193545803226,11.5987095755484,6.51483872632258,76.0451614322581,9.82967748935484,20.1967741129032,22.2870967006452,25.4064516867742,13.3616129044839,43.9580642319355,29.8319355600323,9.93258064012903,55.7180640312903,28.8600000720645,5.19935479480645,4.44322581451613,11.1851613288387,12.2300000807742,28.6132259826774,14.2483871825806,13.8138708759032,7.0448386746129,9.6877418796129,28.5129032750968,27.5609677526452,96.451613026129,10.0406451381935,16.0861291269355,21.3167742761935,18.2854837912903,7.23032257629032,101.674838765194,24.4999999693548,18.5883872585806,4.17548391903226,66.6322583229032,24.5774195267742,20.9280643160323,38.0100001069355,38.4193548390323,15.7777418785484
"NOV_MEAN_DAILY_SW",96.1299997966667,61.636666806,94.946666718,100.079999541667,40.3866662336667,43.7199999483333,81.8700000766667,35.7276669026,79.536666743,51.9763335148333,212.5,24.8166666663333,118.573333231667,28.666666412,39.9966667183333,109.253333346,138.719999949333,67.283333588,142.329999860333,110.083333206333,58.8300001773333,42.6999999044333,16.7196665922333,99.3833333013333,60.3033336006667,173.256666946333,61.573333455,52.5599998466667,11.6903333663,48.7933331806667,157.823333231667,67.4999998726667,97.4533330283333,110.339999993667,105.176666768,40.676666704,88.533333461,66.4156667553667,70.710000229,88.610000102,90.1133330026667,192.926000006933,94.6100001016667,70.3533332823333,208.240000407,75.6699995663333,66.7599995926667,89.4933334346667
"DEC_MEAN_DAILY_SW",119.270967299355,214.774193548387,124.906451195161,123.380645259677,92.719354813871,94.1483875396774,59.6580650583871,123.916129020323,184.935483870968,125.996774242581,152.006451514516,51.3129034354839,138.135483526129,40.4032259912903,160.845161068387,176.887096774194,141.183870623226,122.709677173226,65.8645164741936,78.9580640480645,38.2548386970968,93.80322561,101.245161610323,83.1677418370968,82.2548391290323,152.354838709677,96.1322587532258,48.7516130016129,97.8645162274194,119.354838709677,193.290322580645,91.9193547154839,115.53225831,171.806451612903,132.274193794839,63.6838714845161,134.806451612581,97.7032256580645,104.580645161613,112.309677616129,74.0516131009677,176.451612903226,153.88064526,40.6419353483871,127.406451563871,152.396774169355,73.1096772225806,115.732257965806
"JAN_P50_DAILY_SW",39.59999847,111,124,203,61.20000076,62,91.5,42.5,159,165,83.30000305,123,54.40000153,67.69999695,25.10000038,113,87.30000305,61,121,89.40000153,32.09999847,76.59999847,137,67.09999847,80,82.30000305,65.40000153,111,27.89999962,80.69999695,127,128,150,135,137,66.69999695,65.09999847,121,154,99.40000153,63.20000076,205,149,104,76,163,128,122
"FEB_P50_DAILY_SW",117,81.70000076,103,124,42.600000385,65.80000305,108.5,77.30000305,56.800001145,122,50.25,99.69999695,66.80000305,59.600000385,78.60000229,89.09999847,81.099998475,119.5,205,96,34.600000385,100,115.5,64,54.450000765,103.049999235,128.5,122,48.39999962,76.549999235,154.5,96.90000153,79.299999235,126.5,143,59.70000076,49.10000038,75.35000229,83.849998475,73.69999695,68.89999771,100.25,83.40000153,51.20000076,35.79999924,84.549999235,80.5,90.40000153
"MAR_P50_DAILY_SW",54.90000153,69.69999695,81,98.30000305,73.09999847,46.70000076,77,143,53.20000076,114,68,66.30000305,69.40000153,40.5,95.69999695,76.80000305,41.09999847,63.29999924,111,83.30000305,31.5,104,106,58.59999847,63.70000076,68.09999847,44.40000153,46.5,52.09999847,113,119,63.40000153,77.90000153,67.40000153,95.19999695,55.5,22.10000038,65.09999847,141,49.79999924,29.39999962,52.5,146,54.79999924,41.29999924,64.5,100,85.09999847
"APR_P50_DAILY_SW",32.699998855,72.80000305,46.70000076,50.14999962,103,55.34999847,73.599998475,79.90000153,23.25,94.700000765,43.59999847,69.39999771,47,28.84999943,35.850000385,57.89999962,57.09999847,39.04999924,39.84999847,64.650001525,52.049999235,41.649999615,40.600000385,80.95000076,74.650001525,43.549999235,32.19999981,16.30000019,56.199998855,45.60000038,43.800001145,46.39999962,95.54999924,25,65.200000765,44,37.25,52.649999615,90.700000765,25.55000019,98.099998475,50.75,70.09999847,37.850000385,57.100000385,78.95000076,81.10000229,74.849998475
"MAY_P50_DAILY_SW",40.5,35.70000076,33.09999847,19,70.5,18.70000076,66.30000305,47.59999847,16.70000076,53.5,54.70000076,62.59999847,11.69999981,18.10000038,22.70000076,16.10000038,31.70000076,39.40000153,16.89999962,55.40000153,31,46,28.60000038,40.40000153,27.5,13.69999981,18.70000076,12.5,34.70000076,15.19999981,11.80000019,28.29999924,78.19999695,11,56.29999924,38.70000076,34.5,27.79999924,16.20000076,13.69999981,33.09999847,27.89999962,29.89999962,56.20000076,33.20000076,43.5,55.70000076,48.40000153
"JUN_P50_DAILY_SW",7.929999828,11,11.2950000755,11.799999715,32.849999425,6.5549998285,33.14999962,16.19999981,18.69999981,50.550001145,19,32.850000385,11.799999715,10.849999905,4.680000067,7.085000038,13.05000019,14.599999905,6.570000172,18.10000038,7.765000105,7.8549997805,19.44999981,24.30000019,6.329999924,28.55000019,7.230000019,7.2799999715,19.29999924,11,5.3849999905,10.599999905,32.09999943,5.5250000955,48.199998855,28.5,17.25,17.04999924,8.0499999525,8.5100002285,15,21.44999981,14.5,21.10000038,9.269999981,20.5,30.90000057,18
"JUL_P50_DAILY_SW",5.150000095,14,6.510000229,10.89999962,7.650000095,5.320000172,16.39999962,12.30000019,7.650000095,22.39999962,8.210000038,11.39999962,6.119999886,6.599999905,4.599999905,10.5,11.69999981,9.949999809,19.79999924,8.960000038,5.489999771,7.920000076,6.849999905,5.690000057,5.929999828,6.260000229,5.130000114,7.690000057,6.760000229,6.03000021,5.28000021,5.21999979,31,4.590000153,21.20000076,7.199999809,9.18999958,6.300000191,6.199999809,3.089999914,7.929999828,4.46999979,6.119999886,7.739999771,6.389999866,5.650000095,8.920000076,13.89999962
"AUG_P50_DAILY_SW",5.239999771,6.539999962,5.380000114,6.480000019,5.659999847,5.179999828,7.329999924,6.510000229,6,7.480000019,7.25,8.81000042,5.550000191,5.409999847,4.710000038,5.949999809,6.900000095,5.480000019,6.110000134,5.289999962,3.849999905,4.159999847,4.960000038,4.730000019,5.510000229,5.400000095,4.949999809,4.349999905,5.480000019,5.460000038,5.630000114,5.150000095,8.470000267,4.340000153,8.210000038,5.550000191,4.699999809,5.840000153,4.980000019,3.029999971,5.289999962,4.460000038,7.110000134,5.760000229,5.820000172,5,6.800000191,5.900000095
"SEP_P50_DAILY_SW",5.9149999615,7.3350000385,4.449999809,15.349999905,7.180000067,5.539999962,12.30000019,6.4850001335,4.809999943,7.194999933,17.40000057,12.349999905,6.9700000285,31.55000019,21.14999962,7.105000019,5.6849999425,6.0650000575,11.25,8.9200000765,6.1349999905,5.220000029,4.8599998955,5.3499999045,5.444999933,5.61500001,15.400000095,4.800000191,5.254999876,5.265000105,5.904999971,4.949999809,9.620000362,4.1649999615,6.424999952,6,5.699999809,5.9300000665,3.0349999665,6.8949999805,5.409999847,2.9850000145,6.3499999045,15.349999905,5.625,5.159999847,6.1600000855,5.2449998855
"OCT_P50_DAILY_SW",25.70000076,7.820000172,73.09999847,38.20000076,32.79999924,9.229999542,15,8.5,7.869999886,6.800000191,49.79999924,9.630000114,13.19999981,20.70000076,16.10000038,13.39999962,40.5,11.5,8.949999809,57.59999847,13.10000038,4.849999905,4.460000038,11.5,6.170000076,19.89999962,13,9.199999809,5.519999981,7.25,21.10000038,11.80000019,94,11.89999962,15.60000038,14.39999962,13.89999962,5.929999828,52.20000076,23.29999924,15.80000019,3.5,65.90000153,25.70000076,12.19999981,33.29999924,41,11.19999981
"NOV_P50_DAILY_SW",95.10000229,54.100000385,98.54999924,89.45000076,42.199998855,48.85000038,78.75,37.550001145,84.549999235,37.200000765,210,20.60000038,114,26.30000019,37.90000153,112.5,136.5,65.700000765,125,108.5,58.14999962,9.7750000955,7.4400000575,106,66.15000153,197.5,43.350000385,51.45000076,11.650000095,48.75,164,67.45000076,93.75,118,111,42.25,100.099998475,57.200000765,69.05000305,89.19999695,99.19999695,183,87.60000229,71.150001525,192,72.950000765,41.85000038,79.29999924
"DEC_P50_DAILY_SW",111,182,118,121,104,88.09999847,58.90000153,47,184,119,151,55.5,129,43.29999924,168,152,138,113,68.90000153,77.59999847,34.5,86.19999695,100,86,68.90000153,143,84,48.29999924,83.59999847,92,195,94.5,114,155,132,62.20000076,119,99,105,97.69999695,43.90000153,187,137,39.20000076,112,156,61.09999847,97.40000153
"JAN_P80_DAILY_SW",33.70000076,91.19999695,118,90.90000153,36.79999924,47,51.29999924,38.5,122,70.19999695,70.80000305,110,44.70000076,60.90000153,21,78.59999847,77.90000153,46.79999924,104,77.19999695,29.39999962,33.5,101,32.90000153,69.19999695,67.09999847,52.29999924,91.80000305,21.89999962,70.19999695,104,96.09999847,116,89.90000153,111,55.29999924,58.29999924,94.59999847,110,66.69999695,42.90000153,159,117,71.40000153,50.90000153,115,108,96.90000153
"FEB_P80_DAILY_SW",101.4,59.70000076,77.62000122,106,34.940000152,60.59999847,96.919999694,55.679999544,45.740000156,94.46000061,46.020001222,81.859997558,41.240000156,50.459999082,18.60000038,71.760002138,46.979999544,80.819999698,83.359999082,70.439997862,23.240000152,74.8,90.759999082,54.080001068,41.379998778,72.36000061,106,101.52000122,34.6,45.8,106.4,76.959997558,71.1,108.2,128.2,47.90000153,37.960000614,66.23999939,71.19999695,62.879999544,45.740000918,60.719999694,72.539999388,46.120001222,30.059999468,75.060002138,71.39999695,84.040000918
"MAR_P80_DAILY_SW",38.20000076,54.40000153,64,79,40.5,40.5,69.69999695,117,47.59999847,88.09999847,58.29999924,53.5,60.29999924,28.89999962,61.09999847,65.80000305,29.39999962,42.29999924,74.5,71.80000305,27.29999924,77.30000305,68.30000305,51.20000076,57.20000076,59.20000076,34.79999924,31.5,38.40000153,90.90000153,93,52.5,68.59999847,60.79999924,86.80000305,47.70000076,17.39999962,56.09999847,43.79999924,32.59999847,23.70000076,47.09999847,78.80000305,49.90000153,31.10000038,59.29999924,68.69999695,72
"APR_P80_DAILY_SW",29.70000076,51.69999924,39.09999847,39.319998928,89.68000183,37.220001224,61.360000608,57.280000306,9.436000061,67.819999694,42.619999698,60.179999544,44.5,27.080000304,31.120000076,48.719999694,46.860001376,31.159999468,17.879999544,57.259999086,44.919999694,33.180000302,37.99999924,54.69999847,57.720001224,41.380001072,29.140000532,14,42.320001224,37.60000153,26.3,38.260001376,68.679997254,22.839999772,41.240000918,38.279999544,31.560000228,37.819999694,58.00000076,23.660000608,77.45999756,31.680000684,63.059999082,31.919998928,43.919999694,73.480000306,53.4,71.93999939
"MAY_P80_DAILY_SW",34.29999924,23.39999962,30.29999924,13,64.59999847,12.89999962,58,40.79999924,9.909999847,41.29999924,43.90000153,53.79999924,10.19999981,15.80000019,13.89999962,12.19999981,19.89999962,31.20000076,9.220000267,44.20000076,28,31.29999924,14.10000038,36.40000153,10,9.430000305,12.60000038,9.960000038,23.79999924,14.19999981,8.909999847,25,41.59999847,9.829999924,44.59999847,33.09999847,29.89999962,26,15.5,9.390000343,18.20000076,23.79999924,25.89999962,21.39999962,21.20000076,25.5,37.5,36.40000153
"JUN_P80_DAILY_SW",7.360000134,6.9280000684,7.21999979,8.9640003208,6.880000114,6.1900000572,19.59999924,11.379999734,14.779999924,32.000001148,8.6679996488,20.759999848,6.3940000532,7.6139999394,3.950000048,6.1259999272,9.9340000152,13.39999962,6.3279999736,9.2940002444,7.0379998204,7.0380000116,17.839999772,12.480000114,6.1979998586,16.080000684,6.5579999926,6.5299999238,14.580000114,6.5579999926,4.93599987,6.9899999618,27.840000152,4.670000076,43.39999847,22.239999392,14.80000019,12.580000304,6.544000149,3.3960000516,10.460000038,7.5539999962,7.0880001064,17.759999848,7.7039998052,8.6299997334,13.10000019,16.239999392
"JUL_P80_DAILY_SW",4.960000038,6.480000019,6.289999962,8.779999733,6.650000095,4.980000019,13.19999981,9.880000114,6.510000229,17.39999962,7.139999866,10.19999981,5.860000134,6.369999886,4.039999962,9.640000343,8.909999847,6.199999809,15.80000019,5.5,4.010000229,6.639999866,5.599999905,5.210000038,5.650000095,5.849999905,4.989999771,5.769999981,6.389999866,5.5,5.050000191,5.130000114,23.39999962,4.389999866,15.5,6.349999905,5.710000038,5.699999809,6.010000229,2.910000086,6.820000172,3.480000019,5.900000095,5.760000229,6.119999886,5.409999847,6.659999847,10.30000019
"AUG_P80_DAILY_SW",4.960000038,6.03000021,5.099999905,5.46999979,5.099999905,4.699999809,6.909999847,6.289999962,5.239999771,6.909999847,7.019999981,5.949999809,5.269999981,4.960000038,4.590000153,5.369999886,5.820000172,5.380000114,5.840000153,5.119999886,3.74000001,3.99000001,4.599999905,4.53000021,5.300000191,5.130000114,4.860000134,4.059999943,5.25,5.130000114,5.480000019,4.78000021,7.739999771,4.230000019,7.5,5.400000095,4.300000191,5.670000076,4.329999924,2.950000048,5.170000076,3.430000067,5.840000153,5.489999771,5.670000076,4.559999943,6.400000095,5.71999979
"SEP_P80_DAILY_SW",4.960000038,6.6980000494,4.2960001948,13.460000038,5.320000172,5.239999771,9.149999809,6.119999886,4.46999979,6.8879999158,10.760000228,10.359999658,5.914000034,9.1420000074,13.240000342,5.3280001644,5.059999943,5.7840000154,9.0620000836,6.0360000608,4.45,4.356000137,4.300000191,4.9079998966,5.2920001986,5.355999947,12.19999981,4.5739999774,5.110000134,5.059999943,5.7260000228,4.8580000882,8.3479999546,4.0280001642,6.2619999886,5.6060001378,5.5360001566,5.7420000076,2.9180000308,3.4500000004,5.2780001642,2.7400000096,6,10.3159999848,5.5979999546,4.7880000116,5.953999996,4.6579998966
"OCT_P80_DAILY_SW",19.39999962,6.940000057,47.90000153,21.20000076,25.20000076,7.309999943,14.19999981,6.679999828,4.809999943,4.420000076,22,8.210000038,11.60000038,16.39999962,13.10000038,12.69999981,31.10000038,9.869999886,7.079999924,25.89999962,8.010000229,3.910000086,4.190000057,9.289999962,4.760000229,18.10000038,12,5.610000134,5.349999905,5.400000095,5.53000021,5.630000114,65,5.380000114,9.210000038,9.369999886,9.529999733,5.760000229,3.779999971,16.89999962,6.5,3.130000114,46.70000076,21.39999962,7.300000191,6.650000095,31.5,4.260000229
"NOV_P80_DAILY_SW",79.89999695,35.760000608,65.540000152,80.240000918,36.440000152,22.720000076,59.79999924,32.759999848,32.479998776,5.9120001794,160.8,18.459999848,98.119999694,21,31.580000304,85.620001224,117.8,50.69999847,54.519999698,98.740000918,41.2,9.0060001374,4.146000099,88.479998776,31.940000532,69.60000305,15.720000076,45.640000918,10.159999848,39.4,60.619999694,55.480001072,64.760001376,14.619999886,72.799997712,31.340000152,46.90000153,5.906000042,47.359999848,83.820001224,65.859999082,154,59.69999847,54.079999544,102.96000061,60.879998776,37.70000076,65.20000305
"DEC_P80_DAILY_SW",89.19999695,165,86.69999695,106,40.20000076,62.29999924,50.40000153,33.40000153,124,108,102,30,94.59999847,25.60000038,64.09999847,131,105,84,43.29999924,59.70000076,30.79999924,65,62.70000076,66,49.40000153,89,73.40000153,44.5,60.20000076,65.5,128,66.5,86.09999847,138,95.90000153,56.70000076,102,57.09999847,94.19999695,81.90000153,32,118,102,33,94.5,92.69999695,44.5,78.80000305
"JAN_P90_DAILY_SW",29.70000076,66.80000305,113,76.19999695,33.70000076,44.70000076,47.59999847,36.79999924,106,60,68,106,41.09999847,58.59999847,19.10000038,67.80000305,73.30000305,44.40000153,99.40000153,74.19999695,28.79999924,26.79999924,97.30000305,30.79999924,67.40000153,43.79999924,48.5,88,19.5,68.19999695,97.90000153,84.40000153,109,69.19999695,106,50.29999924,55.5,85.69999695,102,58.90000153,37.40000153,144,110,58.79999924,35,111,103,87.40000153
"FEB_P90_DAILY_SW",98.679998014,58,68.079998014,95.079997254,30.95000038,57.289999009,92.979999541,54.09999847,41.270000073,91.140000915,43.59999847,72.239999386,37.570000843,47.30000153,14.940000057,68.70000153,43.439999388,73.10000153,74.14999695,65.380000306,22.580000304,66,77.57000122,52.180001072,38.409999468,68.570001986,91.170000459,94.039997866,30.340000532,42.430000304,92.45000305,63.240000152,62.310000228,101.25,123.1,47,33.95000153,61.520000459,61.420000073,60.280000302,41.130000304,53.720000073,72.090001676,45.539998624,29.029999354,70.35000153,67.00000305,81.480000306
"MAR_P90_DAILY_SW",34.29999924,51.29999924,57.20000076,74.80000305,40.5,39.90000153,62.59999847,110,40.20000076,75.90000153,53.79999924,50.40000153,58.59999847,26.89999962,54.09999847,58,27.60000038,41,70,71.19999695,24.60000038,73.80000305,63.70000076,48.09999847,48.40000153,58.79999924,31.10000038,28.20000076,34.40000153,82.5,85,46.40000153,63.70000076,58.29999924,83.59999847,46.09999847,16.89999962,54.5,43.59999847,29.89999962,22,45.90000153,72.80000305,48.5,29.70000076,57,63.59999847,68.19999695
"APR_P90_DAILY_SW",29.39999962,47.369998547,36.739999392,38.20000076,85.5,33.260001377,57.3,54.640000531,8.779999733,62.909998699,41.569998547,57.5,43.269999316,26.929999924,27.360000038,47.15000076,38.769999316,26.269999696,17.640000722,56.419999316,42.959999847,32.589998623,35.459998699,45.29999924,51.959999847,40.929999924,28.120000646,13.489999962,39.710001377,33.560000608,21.789999392,37.170000837,61.49999847,22.180000684,37.70000076,37.810001377,28.510000608,36.219999316,47.030001453,23.190000722,61.490000531,31.080000304,56.49999847,29.669999316,40.160000608,73.039998623,52.029998776,70.95
"MAY_P90_DAILY_SW",21.60000038,13.69999981,29.70000076,12.80000019,59.70000076,12.60000038,56.40000153,24.79999924,9.569999695,39.59999847,34.79999924,50.70000076,9.909999847,14.60000038,13.19999981,11.89999962,18.20000076,30.29999924,6.840000153,37.29999924,25,25.29999924,9.520000458,35.79999924,7.25,9.090000153,10.39999962,9.819999695,21,11.19999981,8.659999847,23,32.29999924,9.510000229,38.40000153,31.70000076,27.10000038,24.10000038,14.69999981,9.340000153,16.5,23.60000038,25.39999962,20.70000076,17,22.20000076,34.29999924,27.60000038
"JUN_P90_DAILY_SW",6.940000057,6.769999981,6.849999905,8.579999924,6.645000076,5.9930001737,14.379999639,10.989999962,12.179999829,22.15000038,7.8180001263,19.04999924,6.3290001396,6.6689998624,3.939000058,5.7559998992,9.135000324,13.189999867,6.2720001699,8.7529996874,6.3340001587,6.8910000798,16.829999734,7.3349998472,6.1890000341,11.3800003039,6.0729999545,6.4679997919,12.530000304,6.5090002061,4.849999905,6.6690000531,21.14999962,4.6149999146,41.059999469,17.040000342,14.570000361,10.480000019,6.4859997748,3.2629999877,9.3720003126,6.1639998433,6.6430000779,15.839999677,7.5220001699,8.039999962,10.060999871,15.889999677
"JUL_P90_DAILY_SW",4.960000038,6.480000019,6.090000153,7.670000076,6.510000229,4.53000021,9.970000267,7.21999979,6.170000076,15.60000038,7.019999981,10,5.800000191,4.840000153,3.99000001,8.149999619,8.5,6.150000095,14.10000038,5.409999847,3.819999933,6.53000021,5.46999979,5.110000134,5.610000134,5.690000057,4.769999981,5.559999943,6.239999771,5.449999809,4.900000095,5.070000172,19.79999924,4.260000229,12.80000019,6.090000153,4.739999771,5.659999847,5.980000019,2.890000105,6.190000057,3.380000114,5.78000021,5.690000057,6.110000134,5.340000153,6.420000076,7.429999828
"AUG_P90_DAILY_SW",4.960000038,6.03000021,4.53000021,5.099999905,4.980000019,4.699999809,6.570000172,6.119999886,4.980000019,6.800000191,7.019999981,5.269999981,5.039999962,4.840000153,4.440000057,4.489999771,5.730000019,5.360000134,5.739999771,5.050000191,3.670000076,3.880000114,4,4.489999771,5.25,5.070000172,4.820000172,4.03000021,5.090000153,4.960000038,5.380000114,4.739999771,7.579999924,4.21999979,7.349999905,5.389999866,4.239999771,5.619999886,4.269999981,2.900000095,5.090000153,3.339999914,5.809999943,5.360000134,5.619999886,4.489999771,6.269999981,5.610000134
"SEP_P90_DAILY_SW",4.7789999487,6.5769999031,4.1820000647,12.689999867,5.239999771,5.239999771,8.66499958,6.0539999487,4.4619997976,6.7830001833,10.590000342,9.9770000458,5.8520001416,8.31400032,7.685000229,4.7580001832,4.9029998776,5.7050000189,8.6630002974,5.2990001681,3.920000076,4.0859999183,4.2659999848,4.8150001529,5.2169998167,5.2089998244,11.980000019,4.524000168,5.0579999449,5.024000168,5.5719999317,4.8289999488,8.010000229,3.9890000109,6.1929998395,5.4929999828,5.3889998908,5.5779999259,2.8469999933,3.2170000318,5.2349997996,2.6580000879,5.8940001008,6.6349998472,5.5779999259,4.6550000665,5.8949998852,4.1480000969
"OCT_P90_DAILY_SW",6.230000019,6.650000095,7.559999943,16.10000038,25.20000076,6.599999905,14.10000038,6.170000076,4.46999979,4.159999847,16.10000038,7.989999771,11.19999981,15.30000019,12.69999981,12,30.20000076,7.550000191,6.909999847,10.10000038,7.860000134,3.769999981,4.099999905,8.479999542,4.269999981,17.60000038,11.5,5.300000191,5.269999981,5.340000153,5.409999847,5.440000057,57.5,5,6.559999943,9.31000042,9.18999958,5.679999828,2.87,15.89999962,6.03000021,3.079999924,22.39999962,20.5,7.170000076,4.760000229,31.39999962,3.980000019
