"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",1.58341935483871,1.25440155440415,1.11351062155783,0.699247154471545,0.376869394177813,0.231892682926829,0.126869394177813,0.130893784421715,0.213321951219512,0.82752871754524,1.6705918699187,1.47494885916601,0.806409215358932
"median",0.685,0.5505,0.547,0.3785,0.181,0.11,0.054,0.03,0.0595,0.223,0.7775,0.678,0.238
"max",20,23.2,14.7,7.12,4.6,6.51,8.36,12.4,9.45,14.8,24.7,21.6,24.7
"min",0.071,0.049,0.071,0.036,0.021,0.009,0.004,0.003,0.004,0.004,0.012,0.008,0.003
