"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Jun",0.1753,0.1753,5.55111512312578e-17,0.1753,3.16663726361996e-16,"P30"
"Mar",1.11,1.11,0,1.11,0,"P30"
"May",0.314,0.314,0,0.314,0,"P30"
"Nov",1.66,1.66,0,1.66,0,"P30"
"Oct",0.633,0.633,0,0.633,0,"P30"
"Sep",0.113,0.113,0,0.113,0,"P30"
"Apr",0.5657,0.5657,0,0.5657,0,"P35"
"Aug",0.0455,0.0455,0,0.0455,0,"P35"
"Dec",1.185,1.185,0,1.185,0,"P35"
"Feb",0.96,0.96,0,0.96,0,"P35"
"Jan",1.27,1.27,0,1.27,0,"P35"
"Jul",0.079,0.079,0,0.079,0,"P35"
"Jun",0.153,0.153,0,0.153,0,"P35"
"Mar",0.897,0.897,0,0.897,0,"P35"
"May",0.2765,0.2765,0,0.2765,0,"P35"
"Nov",1.38,1.38,0,1.38,0,"P35"
"Oct",0.4805,0.4805,0,0.4805,0,"P35"
"Sep",0.097,0.097,0,0.097,0,"P35"
"Apr",0.487,0.487,0,0.487,0,"P40"
"Aug",0.04,0.04,0,0.04,0,"P40"
"Dec",0.992,0.992,0,0.992,0,"P40"
"Feb",0.798,0.798,3.33066907387547e-16,0.798,4.17377076926751e-16,"P40"
"Jan",1.05,1.05,0,1.05,0,"P40"
"Jul",0.069,0.069,0,0.069,0,"P40"
"Jun",0.139,0.139,0,0.139,0,"P40"
"Mar",0.75,0.75,0,0.75,0,"P40"
"May",0.237,0.237,0,0.237,0,"P40"
"Nov",1.13,1.13,0,1.13,0,"P40"
"Oct",0.374,0.374,0,0.374,0,"P40"
"Sep",0.084,0.084,0,0.084,0,"P40"
"Apr",0.42995,0.42995,-5.55111512312578e-17,0.42995,1.29110713411461e-16,"P45"
"Aug",0.037,0.037,0,0.037,0,"P45"
"Dec",0.819,0.819,0,0.819,0,"P45"
"Feb",0.665,0.665,0,0.665,0,"P45"
"Jan",0.869,0.869,0,0.869,0,"P45"
"Jul",0.062,0.062,0,0.062,0,"P45"
"Jun",0.125,0.125,0,0.125,0,"P45"
"Mar",0.645,0.645,0,0.645,0,"P45"
"May",0.2015,0.2015,0,0.2015,0,"P45"
"Nov",0.923,0.923,0,0.923,0,"P45"
"Oct",0.289,0.289,0,0.289,0,"P45"
"Sep",0.07195,0.07195,-4.16333634234434e-17,0.07195,5.78642994071485e-16,"P45"
"Apr",0.3785,0.3785,0,0.3785,0,"P50"
"Aug",0.03,0.03,0,0.03,0,"P50"
"Dec",0.678,0.678,0,0.678,0,"P50"
"Feb",0.5505,0.5505,0,0.5505,0,"P50"
"Jan",0.685,0.685,0,0.685,0,"P50"
"Jul",0.054,0.054,0,0.054,0,"P50"
"Jun",0.11,0.11,0,0.11,0,"P50"
"Mar",0.547,0.547,0,0.547,0,"P50"
"May",0.181,0.181,0,0.181,0,"P50"
"Nov",0.7775,0.7775,-1.11022302462516e-16,0.7775,1.42793958151146e-16,"P50"
"Oct",0.223,0.223,0,0.223,0,"P50"
"Sep",0.0595,0.0595,0,0.0595,0,"P50"
"Apr",0.334,0.334,0,0.334,0,"P55"
"Aug",0.027,0.027,0,0.027,0,"P55"
"Dec",0.5655,0.5655,1.11022302462516e-16,0.5655,1.96325910632212e-16,"P55"
"Feb",0.45065,0.45065,0,0.45065,0,"P55"
"Jan",0.5675,0.5675,1.11022302462516e-16,0.5675,1.95634013149807e-16,"P55"
"Jul",0.0475,0.0475,0,0.0475,0,"P55"
"Jun",0.10005,0.10005,4.16333634234434e-17,0.10005,4.16125571448709e-16,"P55"
"Mar",0.465,0.465,0,0.465,0,"P55"
"May",0.1585,0.1585,0,0.1585,0,"P55"
"Nov",0.647,0.647,0,0.647,0,"P55"
"Oct",0.1735,0.1735,0,0.1735,0,"P55"
"Sep",0.049,0.049,0,0.049,0,"P55"
"Apr",0.294,0.294,0,0.294,0,"P60"
"Aug",0.024,0.024,0,0.024,0,"P60"
"Dec",0.476,0.476,0,0.476,0,"P60"
"Feb",0.3708,0.3708,0,0.3708,0,"P60"
"Jan",0.459,0.459,0,0.459,0,"P60"
"Jul",0.041,0.041,0,0.041,0,"P60"
"Jun",0.091,0.091,0,0.091,0,"P60"
"Mar",0.397,0.397,0,0.397,0,"P60"
"May",0.14,0.14,0,0.14,0,"P60"
"Nov",0.5296,0.5296,-1.11022302462516e-16,0.5296,2.09634256915626e-16,"P60"
"Oct",0.136,0.136,0,0.136,0,"P60"
"Sep",0.041,0.041,0,0.041,0,"P60"
"Apr",0.261,0.261,0,0.261,0,"P65"
"Aug",0.022,0.022,0,0.022,0,"P65"
"Dec",0.4075,0.4075,0,0.4075,0,"P65"
"Feb",0.3128,0.3128,5.55111512312578e-17,0.3128,1.77465317235479e-16,"P65"
"Jan",0.371,0.371,0,0.371,0,"P65"
"Jul",0.036,0.036,0,0.036,0,"P65"
"Jun",0.082,0.082,0,0.082,0,"P65"
"Mar",0.3425,0.3425,0,0.3425,0,"P65"
"May",0.127,0.127,0,0.127,0,"P65"
"Nov",0.44115,0.44115,0,0.44115,0,"P65"
"Oct",0.119,0.119,0,0.119,0,"P65"
"Sep",0.035,0.035,0,0.035,0,"P65"
"Apr",0.226,0.226,0,0.226,0,"P70"
"Aug",0.02,0.02,0,0.02,0,"P70"
"Dec",0.332,0.332,-1.11022302462516e-16,0.332,3.34404525489505e-16,"P70"
"Feb",0.262,0.262,0,0.262,0,"P70"
"Jan",0.316,0.316,-5.55111512312578e-17,0.316,1.75668200098917e-16,"P70"
"Jul",0.032,0.032,0,0.032,0,"P70"
"Jun",0.073,0.073,0,0.073,0,"P70"
"Mar",0.308,0.308,-5.55111512312578e-17,0.308,1.80231010491097e-16,"P70"
"May",0.111,0.111,-5.55111512312578e-17,0.111,5.00100461542863e-16,"P70"
"Nov",0.377,0.377,0,0.377,0,"P70"
"Oct",0.087,0.087,0,0.087,0,"P70"
"Sep",0.029,0.029,0,0.029,0,"P70"
"Apr",0.19625,0.19625,0,0.19625,0,"P75"
"Aug",0.019,0.019,0,0.019,0,"P75"
"Dec",0.277,0.277,0,0.277,0,"P75"
"Feb",0.21825,0.21825,0,0.21825,0,"P75"
"Jan",0.269,0.269,0,0.269,0,"P75"
"Jul",0.029,0.029,0,0.029,0,"P75"
"Jun",0.06425,0.06425,0,0.06425,0,"P75"
"Mar",0.2685,0.2685,0,0.2685,0,"P75"
"May",0.099,0.099,0,0.099,0,"P75"
"Nov",0.31225,0.31225,0,0.31225,0,"P75"
"Oct",0.065,0.065,0,0.065,0,"P75"
"Sep",0.025,0.025,0,0.025,0,"P75"
"Apr",0.1698,0.1698,2.77555756156289e-17,0.1698,1.63460398207473e-16,"P80"
"Aug",0.017,0.017,0,0.017,0,"P80"
"Dec",0.234,0.234,0,0.234,0,"P80"
"Feb",0.187,0.187,0,0.187,0,"P80"
"Jan",0.227,0.227,0,0.227,0,"P80"
"Jul",0.025,0.025,0,0.025,0,"P80"
"Jun",0.0568,0.0568,4.85722573273506e-17,0.0568,8.55145375481525e-16,"P80"
"Mar",0.232,0.232,0,0.232,0,"P80"
"May",0.088,0.088,0,0.088,0,"P80"
"Nov",0.254,0.254,0,0.254,0,"P80"
"Oct",0.05,0.05,0,0.05,0,"P80"
"Sep",0.022,0.022,0,0.022,0,"P80"
"Apr",0.13935,0.13935,-2.77555756156289e-17,0.13935,1.99178870582195e-16,"P85"
"Aug",0.015,0.015,0,0.015,0,"P85"
"Dec",0.183,0.183,0,0.183,0,"P85"
"Feb",0.158,0.158,0,0.158,0,"P85"
"Jan",0.187,0.187,-5.55111512312578e-17,0.187,2.96851076102983e-16,"P85"
"Jul",0.022,0.022,0,0.022,0,"P85"
"Jun",0.048,0.048,0,0.048,0,"P85"
"Mar",0.2025,0.2025,-2.77555756156289e-17,0.2025,1.37064570941377e-16,"P85"
"May",0.0745,0.0745,-2.77555756156289e-17,0.0745,3.7255806195475e-16,"P85"
"Nov",0.204,0.204,0,0.204,0,"P85"
"Oct",0.034,0.034,0,0.034,0,"P85"
"Sep",0.018,0.018,0,0.018,0,"P85"
"Apr",0.117,0.117,0,0.117,0,"P90"
"Aug",0.013,0.013,0,0.013,0,"P90"
"Dec",0.139,0.139,5.55111512312578e-17,0.139,3.99360800224876e-16,"P90"
"Feb",0.134,0.134,0,0.134,0,"P90"
"Jan",0.144,0.144,0,0.144,0,"P90"
