"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Jan",141,141,0,141,0,"P25"
"Jul",10.80000019,10.8000001907349,-7.34900140741956e-10,10.8000001903675,6.80463081285328e-11,"P25"
"Jun",23.025000095,23.0250000953674,-3.67425201375227e-10,23.0250000951837,1.59576634030974e-11,"P25"
"Mar",92.90000153,92.9000015258789,4.12109102398972e-09,92.9000015279395,4.43605054489726e-11,"P25"
"May",49,49,0,49,0,"P25"
"Nov",111,111,0,111,0,"P25"
"Oct",32.5,32.5,0,32.5,0,"P25"
"Sep",9.350000381,9.35000038146973,-4.69730920826805e-10,9.35000038123486,5.02385991095294e-11,"P25"
"Apr",68,68,0,68,0,"P30"
"Aug",6.119999886,6.11999988555908,4.40920189248573e-10,6.11999988577954,7.20457839015809e-11,"P30"
"Dec",135,135,0,135,0,"P30"
"Feb",107,107,0,107,0,"P30"
"Jan",129,129,0,129,0,"P30"
"Jul",9.7990001681,9.79900016784667,2.5332447251003e-10,9.79900016797334,2.58520734939863e-11,"P30"
"Jun",20.630000494,20.6300004959106,-1.91063520560419e-09,20.6300004949553,9.26144042542027e-11,"P30"
"Mar",85.40000153,85.4000015258789,4.12109102398972e-09,85.4000015279395,4.82563343121424e-11,"P30"
"May",43.70000076,43.7000007629395,-2.93950108698482e-09,43.7000007614698,6.72654699259542e-11,"P30"
"Nov",103,103,0,103,0,"P30"
"Oct",27.20000076,27.2000007629395,-2.93949753427114e-09,27.2000007614698,1.08069759263944e-10,"P30"
"Sep",8.2630002977,8.26300029754639,1.53612234043976e-10,8.26300029762319,1.85903701453529e-11,"P30"
"Apr",63.70000076,63.7000007629395,-2.93950108698482e-09,63.7000007614698,4.61460133727791e-11,"P35"
"Aug",5.940000057,5.94000005722046,-2.20460094624286e-10,5.94000005711023,3.71144936876547e-11,"P35"
"Dec",126,126,0,126,0,"P35"
"Feb",101,101,0,101,0,"P35"
"Jan",120.55,120.55,-7.105427357601e-14,120.55,5.89417449821734e-16,"P35"
"Jul",8.569999695,8.56999969482422,1.75779391042852e-10,8.56999969491211,2.05110148542023e-11,"P35"
"Jun",18.79999924,18.7999992370605,2.93949753427114e-09,18.7999992385302,1.56356258155942e-10,"P35"
"Mar",79,79,0,79,0,"P35"
"May",40.0549991585,40.0549991607666,-2.26661001079265e-09,40.0549991596333,5.65874437235514e-11,"P35"
"Nov",95.5,95.5,0,95.5,0,"P35"
"Oct",22.39999962,22.3999996185303,1.46970080550091e-09,22.3999996192651,6.56116442179262e-11,"P35"
"Sep",7.3705000402,7.37050004005432,1.45679024399215e-10,7.37050004012716,1.97651480369168e-11,"P35"
"Apr",59.70000076,59.7000007629395,-2.93950108698482e-09,59.7000007614698,4.92378735258236e-11,"P40"
"Aug",5.800000191,5.80000019073486,2.65139910027301e-10,5.80000019086743,4.57137760865569e-11,"P40"
"Dec",118,118,0,118,0,"P40"
"Feb",95.40000153,95.4000015258789,4.12109102398972e-09,95.4000015279395,4.31980184275237e-11,"P40"
"Jan",112,112,0,112,0,"P40"
"Jul",7.7539999962,7.7539999961853,1.46993528460371e-11,7.75399999619265,1.89571225860907e-12,"P40"
"Jun",16.839999392,16.8399993896484,2.35158026384852e-09,16.8399993908242,1.39642538534167e-10,"P40"
"Mar",74.84000244,74.8400024414062,-1.4062209174881e-09,74.8400024407031,1.87896963071623e-11,"P40"
"May",36.619998928,36.6199989318848,-3.88477161550327e-09,36.6199989299424,1.06083335036006e-10,"P40"
"Nov",87.5,87.5,0,87.5,0,"P40"
"Oct",19,19,0,19,0,"P40"
"Sep",6.7180000304,6.71800003051758,-1.17577947378322e-10,6.71800003045879,1.75019271874419e-11,"P40"
"Apr",56,56,0,56,0,"P45"
"Aug",5.670000076,5.67000007629395,-2.93949753427114e-10,5.67000007614697,5.18429893261776e-11,"P45"
"Dec",111,111,0,111,0,"P45"
