"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",110.468279570739,92.6917403771534,77.3850806253091,57.2373055397715,35.2766465390323,18.1822638818542,9.73904570075202,6.06979166517003,8.98984723039792,26.8237432910753,85.1135208160563,113.266129059234,53.2624777541072
"median",98.650001525,82.90000153,68.85000229,52.40000153,31,13.60000038,6.7550001145,5.550000191,6.055000067,14.19999981,71.09999847,104,37.40000153
"max",450,303,359,154,121,73.40000153,64.80000305,87.90000153,84.90000153,312,407,425,450
"min",15.60000038,14.69999981,15.80000019,8.670000076,6.46999979,2.99000001,2.849999905,2.769999981,2.579999924,2.72,3.279999971,24.20000076,2.579999924
