"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",295.221935483871,259.666430594901,239.326451612903,302.684666666667,1684.62838709677,3753.64666666667,2434.27096774194,1480.28387096774,1271.82266666667,1039.45741935484,521.596666666667,370.335483870968,1140.8245537181
"median",294.5,261.5,240,260,1350,3620,2290,1410,1200,990,492.5,357,670
"max",473,392,381,1570,6500,9000,6540,3540,2590,2650,1090,723,9000
"min",150,132,125,129,205,1150,1060,786,652,343,181,186,125
