"Month","mean","median","max","min"
1,295.221935483871,294.5,473,150
2,259.666430594901,261.5,392,132
3,239.326451612903,240,381,125
4,302.684666666667,260,1570,129
5,1684.62838709677,1350,6500,205
6,3753.64666666667,3620,9000,1150
7,2434.27096774194,2290,6540,1060
8,1480.28387096774,1410,3540,786
9,1271.82266666667,1200,2590,652
10,1039.45741935484,990,2650,343
11,521.596666666667,492.5,1090,181
12,370.335483870968,357,723,186
13,1140.8245537181,670,9000,125
