"Year","Measure","value","prob","dist.prob"
1987,"Q003-avg",4.66666666666667,0.315789473684211,-0.968928029806553
1948,"Q003-avg",4.72666666666667,0.328947368421053,-0.919025198216819
1992,"Q003-avg",5.02,0.342105263157895,-0.870575923056064
1963,"Q003-avg",5.04,0.355263157894737,-0.823453967132036
2012,"Q003-avg",5.14333333333333,0.368421052631579,-0.777545981928109
1989,"Q003-avg",5.31,0.381578947368421,-0.732749630326731
1960,"Q003-avg",5.31333333333333,0.394736842105263,-0.688972021086659
1965,"Q003-avg",5.37,0.407894736842105,-0.646128392892847
1974,"Q003-avg",5.37666666666667,0.421052631578947,-0.60414099950744
1979,"Q003-avg",5.47,0.434210526315789,-0.562938157861984
1980,"Q003-avg",5.64,0.447368421052632,-0.522453428754192
1957,"Q003-avg",5.66,0.460526315789474,-0.482624905792189
2009,"Q003-avg",5.76,0.473684210526316,-0.443394592826866
1970,"Q003-avg",5.86,0.486842105263158,-0.404707853662671
1998,"Q003-avg",5.86333333333333,0.5,-0.366512920581664
2010,"Q003-avg",5.89,0.513157894736842,-0.328760450332515
1967,"Q003-avg",5.94666666666667,0.526315789473684,-0.291403117855206
2001,"Q003-avg",6.07333333333333,0.539473684210526,-0.254395239227418
1981,"Q003-avg",6.20666666666667,0.552631578947368,-0.217692416196994
1954,"Q003-avg",6.25,0.565789473684211,-0.181251195251485
1973,"Q003-avg",6.25,0.578947368421053,-0.145028734497877
1962,"Q003-avg",6.31333333333333,0.592105263157895,-0.108982471693961
1959,"Q003-avg",6.34333333333333,0.605263157894737,-0.0730697865827188
1988,"Q003-avg",6.36,0.618421052631579,-0.0372476502109304
1994,"Q003-avg",6.40333333333333,0.631578947368421,-0.00147225312183743
1995,"Q003-avg",6.41333333333333,0.644736842105263,0.0343013968662063
1993,"Q003-avg",6.45666666666667,0.657894736842105,0.0701199182449438
2013,"Q003-avg",6.46,0.671052631578947,0.106032054001788
2008,"Q003-avg",6.48,0.684210526315789,0.142089240756235
1972,"Q003-avg",6.51333333333333,0.697368421052632,0.178346269429913
1964,"Q003-avg",6.57666666666667,0.710526315789474,0.214862063804869
1991,"Q003-avg",6.58,0.723684210526316,0.251700611251591
1978,"Q003-avg",6.63333333333333,0.736842105263158,0.288932090902336
2002,"Q003-avg",6.69666666666667,0.75,0.326634259978281
1996,"Q003-avg",6.72333333333333,0.763157894736842,0.364894180949921
2005,"Q003-avg",6.74333333333333,0.776315789473684,0.403810403993518
2000,"Q003-avg",6.82333333333333,0.789473684210526,0.443495766020465
1990,"Q003-avg",6.84,0.802631578947368,0.484081037915991
1975,"Q003-avg",6.89666666666667,0.815789473684211,0.525719759793889
2011,"Q003-avg",6.94333333333333,0.828947368421053,0.568594774668803
1966,"Q003-avg",6.94666666666667,0.842105263157895,0.612927247869579
1983,"Q003-avg",7.15666666666667,0.855263157894737,0.658989424077629
1977,"Q003-avg",7.18,0.868421052631579,0.707123183299989
1984,"Q003-avg",7.23333333333333,0.881578947368421,0.757767930949464
2007,"Q003-avg",7.29666666666667,0.894736842105263,0.811504184179196
1976,"Q003-avg",7.33333333333333,0.907894736842105,0.869124987936512
1969,"Q003-avg",7.37,0.921052631578947,0.931760011633068
1997,"Q003-avg",7.38,0.934210526315789,1.00110802717178
1982,"Q003-avg",7.41666666666667,0.947368421052632,1.07991829952208
1968,"Q003-avg",7.56,0.960526315789474,1.17313859404726
1971,"Q003-avg",7.69333333333333,0.973684210526316,1.29132031873981
1999,"Q003-avg",7.81666666666667,0.986842105263158,1.4657368903269
1944,"Q007-avg",0.473428571428571,0.0131578947368421,-4.32411803673528
1951,"Q007-avg",1.04357142857143,0.0263157894736842,-3.62428166915145
1942,"Q007-avg",1.65142857142857,0.0394736842105263,-3.21205168392545
1956,"Q007-avg",1.83428571428571,0.0526315789473684,-2.91752716824826
1943,"Q007-avg",1.93285714285714,0.0657894736842105,-2.68746165852696
1950,"Q007-avg",1.95142857142857,0.0789473684210526,-2.4981366020931
1947,"Q007-avg",1.97571428571429,0.0921052631578947,-2.33689877417924
1958,"Q007-avg",2.03,0.105263157894737,-2.19619439216721
1953,"Q007-avg",2.32285714285714,0.118421052631579,-2.07115024253337
1952,"Q007-avg",2.62571428571429,0.131578947368421,-1.95843810944543
1945,"Q007-avg",2.69428571428571,0.144736842105263,-1.85568332880831
1941,"Q007-avg",2.99285714285714,0.157894736842105,-1.76113178062393
1946,"Q007-avg",3.18714285714286,0.171052631578947,-1.67345063105779
2006,"Q007-avg",3.53571428571429,0.184210526315789,-1.59160312574703
1949,"Q007-avg",3.76857142857143,0.197368421052632,-1.51476668165505
2003,"Q007-avg",4.07428571428571,0.210526315789474,-1.4422774646944
1961,"Q007-avg",4.42,0.223684210526316,-1.37359179587105
2015,"Q007-avg",4.47285714285714,0.236842105263158,-1.30825860236668
1955,"Q007-avg",4.50714285714286,0.25,-1.24589932370724
2014,"Q007-avg",4.51428571428571,0.263157894736842,-1.18619297460674
1985,"Q007-avg",4.59857142857143,0.276315789473684,-1.12886485239008
2004,"Q007-avg",4.61571428571429,0.289473684210526,-1.07367787003111
1986,"Q007-avg",4.78571428571429,0.302631578947368,-1.02042581331049
1948,"Q007-avg",4.89,0.315789473684211,-0.968928029806553
1963,"Q007-avg",5.15,0.328947368421053,-0.919025198216819
1992,"Q007-avg",5.18571428571429,0.342105263157895,-0.870575923056064
1987,"Q007-avg",5.22,0.355263157894737,-0.823453967132036
1974,"Q007-avg",5.41714285714286,0.368421052631579,-0.777545981928109
1989,"Q007-avg",5.48142857142857,0.381578947368421,-0.732749630326731
1979,"Q007-avg",5.56285714285714,0.394736842105263,-0.688972021086659
1965,"Q007-avg",5.59571428571429,0.407894736842105,-0.646128392892847
1960,"Q007-avg",5.69571428571429,0.421052631578947,-0.60414099950744
2012,"Q007-avg",5.77142857142857,0.434210526315789,-0.562938157861984
2009,"Q007-avg",5.84,0.447368421052632,-0.522453428754192
1980,"Q007-avg",5.86285714285714,0.460526315789474,-0.482624905792189
1957,"Q007-avg",5.88285714285714,0.473684210526316,-0.443394592826866
1970,"Q007-avg",5.88857142857143,0.486842105263158,-0.404707853662671
2010,"Q007-avg",5.94428571428571,0.5,-0.366512920581664
1998,"Q007-avg",5.97714285714286,0.513157894736842,-0.328760450332515
1967,"Q007-avg",6.05142857142857,0.526315789473684,-0.291403117855206
2001,"Q007-avg",6.15857142857143,0.539473684210526,-0.254395239227418
1981,"Q007-avg",6.25142857142857,0.552631578947368,-0.217692416196994
1962,"Q007-avg",6.43571428571429,0.565789473684211,-0.181251195251485
1994,"Q007-avg",6.49571428571429,0.578947368421053,-0.145028734497877
1995,"Q007-avg",6.50714285714286,0.592105263157895,-0.108982471693961
1954,"Q007-avg",6.53,0.605263157894737,-0.0730697865827188
2008,"Q007-avg",6.53714285714286,0.618421052631579,-0.0372476502109304
1988,"Q007-avg",6.55285714285714,0.631578947368421,-0.00147225312183743
1959,"Q007-avg",6.61,0.644736842105263,0.0343013968662063
2013,"Q007-avg",6.64285714285714,0.657894736842105,0.0701199182449438
1993,"Q007-avg",6.67285714285714,0.671052631578947,0.106032054001788
1972,"Q007-avg",6.69142857142857,0.684210526315789,0.142089240756235
1978,"Q007-avg",6.69714285714286,0.697368421052632,0.178346269429913
1991,"Q007-avg",6.7,0.710526315789474,0.214862063804869
1973,"Q007-avg",6.70714285714286,0.723684210526316,0.251700611251591
2005,"Q007-avg",6.79142857142857,0.736842105263158,0.288932090902336
1996,"Q007-avg",6.86428571428571,0.75,0.326634259978281
1964,"Q007-avg",6.88857142857143,0.763157894736842,0.364894180949921
2002,"Q007-avg",6.97714285714286,0.776315789473684,0.403810403993518
2011,"Q007-avg",7.02142857142857,0.789473684210526,0.443495766020465
2000,"Q007-avg",7.03857142857143,0.802631578947368,0.484081037915991
1966,"Q007-avg",7.06142857142857,0.815789473684211,0.525719759793889
1990,"Q007-avg",7.08571428571429,0.828947368421053,0.568594774668803
1975,"Q007-avg",7.10285714285714,0.842105263157895,0.612927247869579
