"Month","mean","median","max","min"
1,84.036,75.9,326,13.8
2,75.087,66.45,273,10
3,61.307,55.5,211,13.9
4,51.487,49.15,135,9.12
5,36.615,34.8,134,7.27
6,19.928,15.5,83.5,4.63
7,11.189,8.35,60.9,2.72
8,7.349,7.08,87.2,0.807
9,8.821,7.16,87.9,0.425
10,24.549,15.6,219,2.15
11,66.895,58.4,249,4.11
12,91.09,85.5,286,16.4
13,44.723,33.9,326,0.425
