"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",84.0363010752688,75.0873937677054,61.3070537634409,51.4871644444444,36.6146365591398,19.9281111111111,11.189376344086,7.3486223655914,8.82051688888889,24.5486408602151,66.89536,91.0898924731183,44.7228474427774
"median",75.9,66.45,55.5,49.15,34.8,15.5,8.35,7.08,7.16,15.6,58.4,85.5,33.9
"max",326,273,211,135,134,83.5,60.9,87.2,87.9,219,249,286,326
"min",13.8,10,13.9,9.12,7.27,4.63,2.72,0.807,0.425,2.15,4.11,16.4,0.425
