"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"May",42.06,42.06,-1.4210854715202e-14,42.06,3.37871010822682e-16,"P35"
"Nov",75.6,75.6,0,75.6,0,"P35"
"Oct",23.26,23.26,-1.06581410364015e-14,23.26,4.58217585399893e-16,"P35"
"Sep",7.8085,7.8085,-8.88178419700125e-16,7.8085,1.13745075200118e-16,"P35"
"Apr",55.2,55.2,0,55.2,0,"P40"
"Aug",7.35,7.35,0,7.35,0,"P40"
"Dec",96.74,96.74,1.4210854715202e-14,96.74,1.46897402472628e-16,"P40"
"Feb",76.6,76.6,0,76.6,0,"P40"
"Jan",87.2,87.2,0,87.2,0,"P40"
"Jul",9.914,9.914,1.77635683940025e-15,9.914,1.79176602723447e-16,"P40"
"Jun",18.9,18.9,0,18.9,0,"P40"
"Mar",61.4,61.4,0,61.4,0,"P40"
"May",39.6,39.6,0,39.6,0,"P40"
"Nov",68.8,68.8,0,68.8,0,"P40"
"Oct",20.5,20.5,0,20.5,0,"P40"
"Sep",7.554,7.554,1.77635683940025e-15,7.554,2.35154466428416e-16,"P40"
"Apr",52.1,52.1,0,52.1,0,"P45"
"Aug",7.22,7.22,0,7.22,0,"P45"
"Dec",91.24,91.24,-1.4210854715202e-14,91.24,1.55752462902258e-16,"P45"
"Feb",71,71,0,71,0,"P45"
"Jan",81.8,81.8,0,81.8,0,"P45"
"Jul",9.032,9.032,0,9.032,0,"P45"
"Jun",16.9,16.9,0,16.9,0,"P45"
"Mar",58.02,58.02,0,58.02,0,"P45"
"May",37.5,37.5,0,37.5,0,"P45"
"Nov",62.795,62.795,0,62.795,0,"P45"
"Oct",17.7,17.7,0,17.7,0,"P45"
"Sep",7.36,7.36,0,7.36,0,"P45"
"Apr",49.15,49.15,-7.105427357601e-15,49.15,1.44566172077335e-16,"P50"
"Aug",7.08,7.08,0,7.08,0,"P50"
"Dec",85.5,85.5,0,85.5,0,"P50"
"Feb",66.45,66.45,0,66.45,0,"P50"
"Jan",75.9,75.9,0,75.9,0,"P50"
"Jul",8.35,8.35,0,8.35,0,"P50"
"Jun",15.5,15.5,0,15.5,0,"P50"
"Mar",55.5,55.5,0,55.5,0,"P50"
"May",34.8,34.8,0,34.8,0,"P50"
"Nov",58.4,58.4,0,58.4,0,"P50"
"Oct",15.6,15.6,0,15.6,0,"P50"
"Sep",7.16,7.16,0,7.16,0,"P50"
"Apr",46.305,46.305,7.105427357601e-15,46.305,1.53448382628248e-16,"P55"
"Aug",6.97,6.97,0,6.97,0,"P55"
"Dec",81,81,0,81,0,"P55"
"Feb",61.565,61.565,7.105427357601e-15,61.565,1.15413422522553e-16,"P55"
"Jan",70.7,70.7,0,70.7,0,"P55"
"Jul",7.94,7.94,0,7.94,0,"P55"
"Jun",14.4,14.4,0,14.4,0,"P55"
"Mar",52.68,52.68,0,52.68,0,"P55"
"May",31.1,31.1,0,31.1,0,"P55"
"Nov",53,53,0,53,0,"P55"
"Oct",13.78,13.78,3.5527136788005e-15,13.78,2.57816667547206e-16,"P55"
"Sep",6.99,6.99,0,6.99,0,"P55"
"Apr",43.3,43.3,0,43.3,0,"P60"
"Aug",6.83,6.83,0,6.83,0,"P60"
"Dec",75.52,75.52,-1.4210854715202e-14,75.52,1.88173394004264e-16,"P60"
"Feb",57.8,57.8,0,57.8,0,"P60"
"Jan",65.46,65.46,-1.4210854715202e-14,65.46,2.17092189355362e-16,"P60"
"Jul",7.626,7.626,0,7.626,0,"P60"
"Jun",13.2,13.2,0,13.2,0,"P60"
"Mar",49.3,49.3,0,49.3,0,"P60"
"May",28.26,28.26,0,28.26,0,"P60"
"Nov",48.4,48.4,0,48.4,0,"P60"
"Oct",12.5,12.5,0,12.5,0,"P60"
"Sep",6.76,6.76,0,6.76,0,"P60"
"Apr",41,41,0,41,0,"P65"
"Aug",6.63,6.63,0,6.63,0,"P65"
"Dec",70,70,0,70,0,"P65"
"Feb",54.195,54.195,7.105427357601e-15,54.195,1.31108540596014e-16,"P65"
"Jan",60.34,60.34,7.105427357601e-15,60.34,1.17756502446155e-16,"P65"
"Jul",7.41,7.41,0,7.41,0,"P65"
"Jun",11.8,11.8,0,11.8,0,"P65"
"Mar",46.2,46.2,0,46.2,0,"P65"
"May",25.7,25.7,0,25.7,0,"P65"
"Nov",43.6,43.6,0,43.6,0,"P65"
"Oct",11,11,0,11,0,"P65"
"Sep",6.43,6.43,0,6.43,0,"P65"
"Apr",38.1,38.1,0,38.1,0,"P70"
"Aug",6.34,6.34,0,6.34,0,"P70"
"Dec",64.32,64.32,-2.8421709430404e-14,64.32,4.41879810796082e-16,"P70"
"Feb",50.5,50.5,0,50.5,0,"P70"
"Jan",56.6,56.6,0,56.6,0,"P70"
"Jul",7.242,7.242,-1.77635683940025e-15,7.242,2.45285396216549e-16,"P70"
"Jun",10.1,10.1,0,10.1,0,"P70"
"Mar",43.3,43.3,0,43.3,0,"P70"
"May",23.6,23.6,0,23.6,0,"P70"
"Nov",39.1,39.1,0,39.1,0,"P70"
"Oct",9.85,9.85,0,9.85,0,"P70"
"Sep",6.09,6.09,0,6.09,0,"P70"
"Apr",35.6,35.6,0,35.6,0,"P75"
"Aug",6.06,6.06,0,6.06,0,"P75"
"Dec",58.9,58.9,0,58.9,0,"P75"
"Feb",46.2,46.2,0,46.2,0,"P75"
"Jan",51.5,51.5,0,51.5,0,"P75"
"Jul",7.03,7.03,0,7.03,0,"P75"
"Jun",8.815,8.815,-1.77635683940025e-15,8.815,2.01515239863897e-16,"P75"
"Mar",40.5,40.5,0,40.5,0,"P75"
"May",20.6,20.6,0,20.6,0,"P75"
"Nov",34.3,34.3,0,34.3,0,"P75"
"Oct",8.5,8.5,0,8.5,0,"P75"
"Sep",5.66,5.66,0,5.66,0,"P75"
"Apr",32.3,32.3,0,32.3,0,"P80"
"Aug",5.49,5.49,0,5.49,0,"P80"
"Dec",53.18,53.18,7.105427357601e-15,53.18,1.33610894276062e-16,"P80"
"Feb",42.5,42.5,0,42.5,0,"P80"
"Jan",45.38,45.38,1.4210854715202e-14,45.38,3.13152373627193e-16,"P80"
"Jul",6.808,6.808,8.88178419700125e-16,6.808,1.30460989967703e-16,"P80"
"Jun",7.99,7.99,0,7.99,0,"P80"
"Mar",37.4,37.4,0,37.4,0,"P80"
"May",17.8,17.8,0,17.8,0,"P80"
"Nov",30.3,30.3,0,30.3,0,"P80"
"Oct",7.67,7.67,0,7.67,0,"P80"
"Sep",4.78,4.78,0,4.78,0,"P80"
"Apr",29.5,29.5,0,29.5,0,"P85"
"Aug",4.87,4.87,0,4.87,0,"P85"
"Dec",46.2,46.2,0,46.2,0,"P85"
"Feb",38.5,38.5,0,38.5,0,"P85"
"Jan",38.32,38.32,-1.4210854715202e-14,38.32,3.70846939331994e-16,"P85"
"Jul",6.51,6.51,0,6.51,0,"P85"
"Jun",7.62,7.62,0,7.62,0,"P85"
"Mar",33.1,33.1,0,33.1,0,"P85"
"May",15.56,15.56,-7.105427357601e-15,15.56,4.56647002416517e-16,"P85"
"Nov",26.6,26.6,0,26.6,0,"P85"
"Oct",6.89,6.89,0,6.89,0,"P85"
"Sep",4.1035,4.1035,0,4.1035,0,"P85"
"Apr",27.1,27.1,0,27.1,0,"P90"
"Aug",4.59,4.59,0,4.59,0,"P90"
