"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1965,7.4,7.4,8.88178419700125e-16,7.4,1.20024110770287e-16,"annual_min_03day_sw"
1966,5.66,5.66,0,5.66,0,"annual_min_03day_sw"
1967,6.83333333333333,6.83333333333333,-2.66453525910038e-15,6.83333333333333,3.8993198913664e-16,"annual_min_03day_sw"
1968,6.68,6.68,0,6.68,0,"annual_min_03day_sw"
1969,4.58666666666666,4.58666666666667,-6.21724893790088e-15,4.58666666666666,1.35550485564699e-15,"annual_min_03day_sw"
1970,6.53,6.53,0,6.53,0,"annual_min_03day_sw"
1971,7.14,7.14,0,7.14,0,"annual_min_03day_sw"
1972,6.13666666666666,6.13666666666667,-7.105427357601e-15,6.13666666666666,1.15786431682797e-15,"annual_min_03day_sw"
1973,4.15999999999999,4.16,-9.76996261670138e-15,4.15999999999999,2.34854870593783e-15,"annual_min_03day_sw"
1974,7.10999999999999,7.11,-1.06581410364015e-14,7.10999999999999,1.49903530751076e-15,"annual_min_03day_sw"
1975,5.56666666666665,5.56666666666667,-1.59872115546023e-14,5.56666666666666,2.87195417148544e-15,"annual_min_03day_sw"
1976,6.56666666666665,6.56666666666667,-1.68753899743024e-14,6.56666666666666,2.56985634126432e-15,"annual_min_03day_sw"
1977,7.23999999999999,7.24,-8.88178419700125e-15,7.23999999999999,1.22676577306647e-15,"annual_min_03day_sw"
1978,5.67999999999998,5.68,-1.95399252334028e-14,5.67999999999999,3.44012768193711e-15,"annual_min_03day_sw"
1979,7.05999999999998,7.06,-1.95399252334028e-14,7.05999999999999,2.76769479226668e-15,"annual_min_03day_sw"
1980,6.30666666666665,6.30666666666667,-1.77635683940025e-14,6.30666666666666,2.81663346627947e-15,"annual_min_03day_sw"
1981,8.13333333333332,8.13333333333333,-1.24344978758018e-14,8.13333333333333,1.5288317060412e-15,"annual_min_03day_sw"
1982,4.59999999999998,4.6,-2.04281036531029e-14,4.59999999999999,4.44089209850063e-15,"annual_min_03day_sw"
1983,6.54333333333332,6.54333333333333,-1.33226762955019e-14,6.54333333333333,2.0360687155632e-15,"annual_min_03day_sw"
1984,6.76666666666664,6.76666666666667,-2.66453525910038e-14,6.76666666666665,3.93773683610894e-15,"annual_min_03day_sw"
1985,5.28333333333331,5.28333333333333,-2.39808173319034e-14,5.28333333333332,4.53895596187447e-15,"annual_min_03day_sw"
1986,5.54999999999998,5.55,-1.95399252334028e-14,5.54999999999999,3.52070724926176e-15,"annual_min_03day_sw"
1987,6.53333333333331,6.53333333333333,-2.39808173319034e-14,6.53333333333332,3.67053326508726e-15,"annual_min_03day_sw"
1988,3.62666666666664,3.62666666666667,-2.70894418008538e-14,3.62666666666665,7.46951520244134e-15,"annual_min_03day_sw"
1989,4.56666666666664,4.56666666666667,-2.66453525910038e-14,4.56666666666665,5.83474874255558e-15,"annual_min_03day_sw"
