"Year","Measure","value"
2010,"Q007-avg",4.25714285714286
2010,"Q015-avg",4.96133333333333
2011,"Q001-avg",5.86
2011,"Q003-avg",5.91666666666667
2011,"Q007-avg",6.22428571428571
2011,"Q015-avg",7.06666666666667
2012,"Q001-avg",7.3
2012,"Q003-avg",7.43
2012,"Q007-avg",7.71285714285714
2012,"Q015-avg",7.81066666666667
2013,"Q001-avg",5.35
2013,"Q003-avg",5.54333333333333
2013,"Q007-avg",6.32285714285714
2013,"Q015-avg",6.74466666666667
2014,"Q001-avg",5.16
2014,"Q003-avg",5.21666666666667
2014,"Q007-avg",5.24142857142857
2014,"Q015-avg",5.328
