"Month","mean","median","max","min"
1,9.02332068311195,8.35,131,3
2,7.94393476752255,7.7,21.3,3.18
3,9.57728652751423,8.44,26.8,3.94
4,27.6635163398693,20.6,189,6.26
5,97.2018342820999,86.4,343,16
6,160.974248366013,157,370,62.6
7,135.93889943074,126,436,55.7
8,80.3129664769133,74.9,300,26.4
9,44.0116993464052,40.35,164,15.4
10,28.0946869070209,24.5,212,10.8
11,20.2674052287582,18.05,143,5.6
12,11.6338013915244,10.8,35,4.9
13,52.9417339488941,25,436,3
