"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",9.02332068311195,7.94393476752255,9.57728652751423,27.6635163398693,97.2018342820999,160.974248366013,135.93889943074,80.3129664769133,44.0116993464052,28.0946869070209,20.2674052287582,11.6338013915244,52.9417339488941
"median",8.35,7.7,8.44,20.6,86.4,157,126,74.9,40.35,24.5,18.05,10.8,25
"max",131,21.3,26.8,189,343,370,436,300,164,212,143,35,436
"min",3,3.18,3.94,6.26,16,62.6,55.7,26.4,15.4,10.8,5.6,4.9,3
