"","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Long-term"
"Mean",NA,NA,NA,110.468,92.692,NA,57.237,NA,NA,NA,6.07,8.99,NA
"Median",NA,NA,NA,98.65,82.9,NA,52.4,NA,NA,NA,5.55,6.055,NA
"Maximum",NA,NA,NA,450,303,NA,154,NA,NA,NA,87.9,84.9,NA
"Minimum",NA,NA,NA,15.6,14.7,NA,8.67,NA,NA,NA,2.77,2.58,NA
