"Year","CY_MIN_01Day_SW","CY_MINDOY_01Day_SW","CY_MIN_03Day_SW","CY_MINDOY_03Day_SW","CY_MIN_07Day_SW","CY_MINDOY_07Day_SW","CY_MIN_30Day_SW","CY_MINDOY_30Day_SW","CY_MIN_DAILY_SW","CY_MAX_DAILY_SW","CY_MEAN_DAILY_SW","CY_TOTALQ_DAILY_SW","CY_YIELDMM_DAILY_SW","CY_CUMQ_DAILY_SW","CY_Date_25P_CUMQ_DAILY_SW","CY_Date_50P_CUMQ_DAILY_SW","CY_Date_75P_CUMQ_DAILY_SW","JFM_TOTALQ_DAILY_SW","AMJ_TOTALQ_DAILY_SW","JAS_TOTALQ_DAILY_SW","OND_TOTALQ_DAILY_SW","JFM_YIELDMM_DAILY_SW","AMJ_YIELDMM_DAILY_SW","JAS_YIELDMM_DAILY_SW","OND_YIELDMM_DAILY_SW","JAN_MIN_DAILY_SW","FEB_MIN_DAILY_SW","MAR_MIN_DAILY_SW","APR_MIN_DAILY_SW","MAY_MIN_DAILY_SW","JUN_MIN_DAILY_SW","JUL_MIN_DAILY_SW","AUG_MIN_DAILY_SW","SEP_MIN_DAILY_SW","OCT_MIN_DAILY_SW","NOV_MIN_DAILY_SW","DEC_MIN_DAILY_SW","JAN_MAX_DAILY_SW","FEB_MAX_DAILY_SW","MAR_MAX_DAILY_SW","APR_MAX_DAILY_SW","MAY_MAX_DAILY_SW","JUN_MAX_DAILY_SW","JUL_MAX_DAILY_SW","AUG_MAX_DAILY_SW","SEP_MAX_DAILY_SW","OCT_MAX_DAILY_SW","NOV_MAX_DAILY_SW","DEC_MAX_DAILY_SW","JAN_MEAN_DAILY_SW","FEB_MEAN_DAILY_SW","MAR_MEAN_DAILY_SW","APR_MEAN_DAILY_SW","MAY_MEAN_DAILY_SW","JUN_MEAN_DAILY_SW","JUL_MEAN_DAILY_SW","AUG_MEAN_DAILY_SW","SEP_MEAN_DAILY_SW","OCT_MEAN_DAILY_SW","NOV_MEAN_DAILY_SW","DEC_MEAN_DAILY_SW","JAN_P50_DAILY_SW","FEB_P50_DAILY_SW","MAR_P50_DAILY_SW","APR_P50_DAILY_SW","MAY_P50_DAILY_SW","JUN_P50_DAILY_SW","JUL_P50_DAILY_SW","AUG_P50_DAILY_SW","SEP_P50_DAILY_SW","OCT_P50_DAILY_SW","NOV_P50_DAILY_SW","DEC_P50_DAILY_SW","JAN_P20_DAILY_SW","FEB_P20_DAILY_SW","MAR_P20_DAILY_SW","APR_P20_DAILY_SW","MAY_P20_DAILY_SW","JUN_P20_DAILY_SW","JUL_P20_DAILY_SW","AUG_P20_DAILY_SW","SEP_P20_DAILY_SW","OCT_P20_DAILY_SW","NOV_P20_DAILY_SW","DEC_P20_DAILY_SW","JAN_P10_DAILY_SW","FEB_P10_DAILY_SW","MAR_P10_DAILY_SW","APR_P10_DAILY_SW","MAY_P10_DAILY_SW","JUN_P10_DAILY_SW","JUL_P10_DAILY_SW","AUG_P10_DAILY_SW","SEP_P10_DAILY_SW","OCT_P10_DAILY_SW","NOV_P10_DAILY_SW","DEC_P10_DAILY_SW","ONDJFM_TOTALQ_DAILY_SW","AMJJAS_TOTALQ_DAILY_SW","ONDJFM_YIELDMM_DAILY_SW","AMJJAS_YIELDMM_DAILY_SW","CY_N_BELOW_25","CY_N_ABOVE_75","CY_N_OUTSIDE_25_75"
1985,3.36,241,3.617,234,3.717,243,3.881,244,3.36,86.4,27.755,875267422.684,1059.646,10130.41,80,134,310,247535999.834,254879998.268,40603679.963,332247744.619,299.68,308.571,49.157,402.237,26.2,21.9,23,40,22,6.27,3.7,3.36,3.78,7.61,33.6,26.6,44.4,41.2,37.9,66.6,50.8,19,7.79,4.77,8.09,73.3,86.4,56,32.89,31.757,30.845,52.61,35.968,8.557,5.529,3.884,5.939,28.86,58.83,38.255,32.1,34.6,31.5,52.05,31,7.765,5.49,3.85,6.135,13.1,58.15,34.5,29.4,23.24,27.3,44.92,28,7.038,4.01,3.74,4.45,8.01,41.2,30.8,28.8,22.58,24.6,42.96,25,6.334,3.82,3.67,3.92,7.86,36.9,28.2,893588540.953,295483678.231,1081.826,357.728,211,13,224
1986,3.45,297,3.49,297,3.68,298,4.174,257,3.45,400,52.854,1666790782.967,2017.907,19291.56,32,76,199,944023680.396,295191647.603,51728543.86,375846911.109,1142.886,357.375,62.625,455.02,24.7,60,70.7,32.2,23,6.68,6.25,3.66,3.88,3.45,8.08,56.8,400,201,156,95.4,68.1,51.3,12.5,10.2,7.96,8.65,116,149,152.581,107.393,102.877,50.523,45.323,16.529,8.371,5.325,5.804,5.199,42.7,93.803,76.6,100,104,41.65,46,7.855,7.92,4.16,5.22,4.85,9.775,86.2,33.5,74.8,77.3,33.18,31.3,7.038,6.64,3.99,4.356,3.91,9.006,65,26.8,66,73.8,32.59,25.3,6.891,6.53,3.88,4.086,3.77,8.818,62.1,1276271425.015,346920191.463,1545.123,420,109,81,190
1987,3.6,221,3.733,222,3.969,314,4.336,314,3.6,198,47.361,1493589890.191,1808.22,17286.92,33,71,181,893885762.107,226875167.499,46415807.899,326413152.686,1082.186,274.667,56.193,395.173,94.3,67.8,54.2,31.9,9.31,12.1,5.27,3.6,4.1,3.94,3.8,44.4,187,138,149,59.7,32.3,21.4,13.8,6.75,6.15,5.17,53,198,134.584,109.496,100.255,43.61,24.238,18.873,7.695,4.947,4.843,4.443,16.72,101.245,137,115.5,106,40.6,28.6,19.45,6.85,4.96,4.86,4.46,7.44,100,101,90.76,68.3,38,14.1,17.84,5.6,4.6,4.3,4.19,4.146,62.7,97.3,77.57,63.7,35.46,9.52,16.83,5.47,4,4.266,4.1,3.974,51.9,1269732673.216,273290975.398,1537.207,330.861,117,56,173
1988,4.14,244,4.417,245,4.53,224,4.765,246,4.14,139,46.111,1458140833.203,1765.304,16876.63,66,123,321,512939520.264,388029312.982,46855584.2,510316415.757,620.992,469.769,56.726,617.816,29.4,49.8,44.2,42.2,35,5.66,4.96,4.14,4.32,7.48,14.3,53,127,99,105,136,44.3,51.8,6.19,5.76,17.5,14.1,139,114,63.152,68.2,64.558,81.45,39.716,27.213,5.592,4.833,7.304,11.185,99.383,83.168,67.1,64,58.6,80.95,40.4,24.3,5.69,4.73,5.35,11.5,106,86,32.9,54.08,51.2,54.7,36.4,12.48,5.21,4.53,4.908,9.29,88.48,66,30.8,52.18,48.1,45.3,35.8,7.335,5.11,4.49,4.815,8.48,54.65,60,839352672.95,434884897.182,1016.165,526.495,106,62,168
1989,4.08,280,4.12,281,4.369,284,5.354,285,4.08,176,40.172,1266855551.864,1533.723,14662.68,50,104,318,531982078.419,279964511.497,45534527.916,409374434.032,644.046,338.94,55.127,495.611,65,35.5,43.5,51,6.99,6,5.54,5.05,4.97,4.08,28.2,38.4,131,90,87.1,106,50.8,6.89,7.29,5.99,7.89,32.9,90.6,176,83.774,56.214,64.071,74.16,26.615,6.349,5.968,5.489,5.728,12.23,60.303,82.255,80,54.45,63.7,74.65,27.5,6.33,5.93,5.51,5.445,6.17,66.15,68.9,69.2,41.38,57.2,57.72,10,6.198,5.65,5.3,5.292,4.76,31.94,49.4,67.4,38.41,48.4,51.96,7.25,6.189,5.61,5.25,5.217,4.27,30.13,42.4,1042298494.176,325499039.413,1261.863,394.067,109,17,126
1990,4.89,227,4.967,227,5.246,227,5.36,241,4.89,326,59.715,1883187359.596,2279.888,21796.15,58,265,331,658393919.276,240517727.175,50489567.949,933786145.197,797.087,291.184,61.125,1130.492,39.4,63.1,57.4,35.8,8.4,7.42,5.35,4.89,4.91,5.82,61.4,59,132,174,89.3,59,33.6,55.7,7.94,6.07,15.8,74.4,283,326,83.342,105.2,67.455,45.253,16.702,30.28,6.476,5.389,7.218,28.613,173.257,152.355,82.3,103.05,68.1,43.55,13.7,28.55,6.26,5.4,5.615,19.9,197.5,143,67.1,72.36,59.2,41.38,9.43,16.08,5.85,5.13,5.356,18.1,69.6,89,43.8,68.57,58.8,40.93,9.09,11.38,5.69,5.07,5.209,17.6,65.2,74,1067768353.308,291007295.124,1292.698,352.309,38,78,116
1991,4.61,233,4.707,210,4.766,214,4.999,236,4.61,248,45.935,1448613506.941,1753.769,16766.36,39,96,323,703200960.135,167297184.036,122873760.38,455241602.39,851.333,202.539,148.758,551.14,45.6,76,29,24.7,9.95,5.91,4.62,4.61,11.5,11,13.4,67.9,170,248,79.4,80.8,23.4,9.32,7.43,87.9,84.9,20.2,147,157,82.487,145.932,48.248,39.14,17.547,7.272,5.327,9.719,31.857,14.248,61.573,96.132,65.4,128.5,44.4,32.2,18.7,7.23,5.13,4.95,15.4,13,43.35,84,52.3,106,34.8,29.14,12.6,6.558,4.99,4.86,12.2,12,15.72,73.4,48.5,91.17,31.1,28.12,10.4,6.073,4.77,4.82,11.98,11.5,14.67,70.9,1636987105.332,290170944.416,1981.825,351.297,171,53,224
1992,3.74,221,3.79,221,4.003,224,4.304,247,3.74,324,42.75,1351848096.911,1636.62,15646.39,30,51,197,896045761.612,107343359.844,44648063.834,303810911.62,1084.801,129.956,54.053,367.81,81.3,86.2,25.1,13.3,6.57,6.05,4.63,3.74,4.43,5.19,42.1,36.3,324,299,88.6,37.7,31.3,8.39,8.54,4.93,12.2,34.6,72.6,66,139,155.759,49.835,17.777,15.913,7.194,6.997,4.318,5.533,13.814,52.56,48.752,111,122,46.5,16.3,12.5,7.28,7.69,4.35,4.8,9.2,51.45,48.3,91.8,101.52,31.5,14,9.96,6.53,5.77,4.06,4.574,5.61,45.64,44.5,88,94.04,28.2,13.49,9.82,6.468,5.56,4.03,4.524,5.3,43.42,41.1,1351287364.002,151991423.678,1635.941,184.009,195,30,225
1993,4.89,276,5.06,247,5.09,251,5.202,259,4.89,191,33.468,1055443393.218,1277.777,12215.78,70,121,333,377585280.397,315653760.548,50913792.018,311290560.255,457.125,382.147,61.639,376.865,18.4,27.1,26.5,35,17.5,11.7,5.86,5.04,5.03,4.89,9.34,27.5,94.4,71.4,123,89.8,78,25.6,11.5,6.04,14.6,13.3,17.6,191,39.084,48.496,58.087,57.723,43.677,18.923,7.332,5.465,6.418,7.045,11.69,97.865,27.9,48.4,52.1,56.2,34.7,19.3,6.76,5.48,5.255,5.52,11.65,83.6,21.9,34.6,38.4,42.32,23.8,14.58,6.39,5.25,5.11,5.35,10.16,60.2,19.5,30.34,34.4,39.71,21,12.53,6.24,5.09,5.058,5.27,9.509,55.1,681396192.018,366567552.566,824.935,443.786,146,37,183
1994,4.8,233,4.88,234,5.037,245,5.298,251,4.8,257,47.673,1503413566.962,1820.113,17400.62,54,86,322,784140480.067,200471327.34,46701792.1,472099967.455,949.323,242.701,56.54,571.55,60.4,38.9,76.8,30,7.56,6.32,5.34,4.8,4.94,5.14,37.8,52,139,143,257,75.2,28.5,17.5,12.3,5.99,6.11,25.3,60,250,87.258,77.4,135.597,49.737,16.115,10.954,6.874,5.406,5.329,9.688,48.793,119.355,80.7,76.55,113,45.6,15.2,11,6.03,5.46,5.265,7.25,48.75,92,70.2,45.8,90.9,37.6,14.2,6.558,5.5,5.13,5.06,5.4,39.4,65.5,68.2,42.43,82.5,33.56,11.2,6.509,5.45,4.96,5.024,5.34,38.65,56.5,1095431040.322,247173119.44,1326.188,299.241,117,44,161
1995,4.67,175,4.8,176,4.873,181,5.104,200,4.67,286,71.344,2249911297.059,2723.864,26040.64,50,108,333,1040739841.187,161398655.665,44616960.338,1003155839.868,1259.976,195.398,54.016,1214.474,89.4,82.4,79.3,20.5,6.48,4.67,4.79,5.24,4.84,4.93,39.8,101,201,262,157,80.1,22.7,5.83,5.82,6.82,7.09,65.8,286,286,128.132,157.393,118.274,43.403,13.101,5.327,5.278,5.679,5.891,28.513,157.823,193.29,127,154.5,119,43.8,11.8,5.385,5.28,5.63,5.905,21.1,164,195,104,106.4,93,26.3,8.91,4.936,5.05,5.48,5.726,5.53,60.62,128,97.9,92.45,85,21.79,8.66,4.85,4.9,5.38,5.572,5.41,44.81,113,1512839808.642,206015616.003,1831.525,249.414,111,112,223
1996,4.63,239,4.65,239,4.72,243,4.886,265,4.63,254,50.604,1600212670.066,1937.303,18520.98,38,102,310,764138879.411,300474143.302,40623551.985,494976095.369,925.108,363.77,49.181,599.245,67.7,54.3,41.2,32.1,21.1,6.44,5.05,4.63,4.72,4.88,48.3,54.2,254,137,80,121,95.9,21.4,6.32,5.55,5.3,64.5,109,129,133.997,94.959,62.468,61.99,41.303,11.254,5.322,5.048,4.957,27.561,67.5,91.919,128,96.9,63.4,46.4,28.3,10.6,5.22,5.15,4.95,11.8,67.45,94.5,96.1,76.96,52.5,38.26,25,6.99,5.13,4.78,4.858,5.63,55.48,66.5,84.4,63.24,46.4,37.17,23,6.669,5.07,4.74,4.829,5.44,50.55,59.4,1767294719.279,341097695.287,2139.582,412.951,111,48,159
1997,7.45,231,7.52,236,7.59,236,8.387,256,7.45,359,79.122,2495201757.289,3020.825,28879.65,57,124,295,985175999.012,519428157.329,170220960.753,820376640.196,1192.707,628.848,206.079,993.192,98.5,54.9,59.8,60.2,30.6,16,14.5,7.45,7.83,51.4,56.6,67.1,245,169,359,124,121,47.7,64.8,12.8,57.7,157,167,171,156.629,90.414,129.529,92.68,72.832,32.457,35.435,8.868,19.891,96.452,97.453,115.532,150,79.3,77.9,95.55,78.2,32.1,31,8.47,9.62,94,93.75,114,116,71.1,68.6,68.68,41.6,27.84,23.4,7.74,8.348,65,64.76,86.1,109,62.31,63.7,61.5,32.3,21.15,19.8,7.58,8.01,57.5,60.71,73.8,1480152094.38,689649118.081,1791.952,834.926,1,242,243
1998,3.96,264,3.997,249,4.019,250,4.137,268,3.96,325,57.352,1808663039.275,2189.665,20933.6,36,97,335,886965119.608,113498495.7,35138880.046,773060543.922,1073.808,137.407,42.541,935.909,60.7,95.2,44,20.3,7.14,4.54,4.14,4.06,3.96,4.37,11.9,123,275,180,109,35.1,19.5,6.45,5.95,4.67,4.33,14.6,281,325,145.658,128.282,69.629,26.367,11.658,5.374,4.732,4.372,4.149,10.041,110.34,171.806,135,126.5,67.4,25,11,5.525,4.59,4.34,4.165,11.9,118,155,89.9,108.2,60.8,22.84,9.83,4.67,4.39,4.23,4.028,5.38,14.62,138,69.2,101.25,58.3,22.18,9.51,4.615,4.26,4.22,3.989,5,14.25,127,1707341759.804,148637375.745,2067,179.948,213,68,281
1999,6.01,260,6.12,261,6.236,261,6.412,279,6.01,282,71.801,2264304674.019,2741.289,26207.23,42,107,315,1058011199.999,439966081.054,96341183.789,669986209.176,1280.885,532.647,116.636,811.121,103,113,79.7,34.1,33.3,32.3,10.6,7.09,6.01,6.28,42.7,68.7,282,232,175,83.9,79.5,73.4,32.7,10.6,7.3,50.9,181,211,147.29,155.464,107.306,59.103,57.003,51.733,21.323,8.356,6.501,16.086,105.177,132.274,137,143,95.2,65.2,56.3,48.2,21.2,8.21,6.425,15.6,111,132,111,128.2,86.8,41.24,44.6,43.4,15.5,7.5,6.262,9.21,72.8,95.9,106,123.1,83.6,37.7,38.4,41.06,12.8,7.35,6.193,6.56,44.42,84.5,1831071743.921,536307264.843,2216.794,649.282,7,205,212
2000,5.23,246,5.3,246,5.391,247,5.525,250,5.23,88.7,36.609,1157674464.806,1401.543,13399.01,53,121,302,470672639.543,297181439.374,56720736.186,333099649.702,569.822,359.784,68.669,403.268,46.9,46.4,44.3,35.9,27.4,15,5.74,5.3,5.23,9.02,27.7,46.9,88.7,82.9,70,50.3,57.4,42.4,13.8,6.64,17.5,53.2,52.2,88.2,64.813,59.448,55.303,42.97,41.352,28.953,8.174,5.666,7.582,21.317,40.677,63.684,66.7,59.7,55.5,44,38.7,28.5,7.2,5.55,6,14.4,42.25,62.2,55.3,47.9,47.7,38.28,33.1,22.24,6.35,5.4,5.606,9.37,31.34,56.7,50.3,47,46.1,37.81,31.7,17.04,6.09,5.39,5.493,9.31,29.01,51.3,1140658848.719,353902175.56,1380.943,428.453,81,33,114
2001,4.21,230,4.227,232,4.264,232,4.705,233,4.21,255,41.973,1323668737.094,1602.505,15320.24,70,236,337,374544000.084,254214721.169,55390175.725,639519840.117,453.443,307.766,67.058,774.237,53.5,30.5,15.8,25.5,24.5,13.9,4.43,4.21,5.33,9.09,44,82.3,139,67.8,40.8,50.9,69.8,24.2,14.4,6.54,16.3,45.3,162,255,70.694,49.311,24.606,38.187,40.729,17.803,8.897,5.001,7.009,18.285,88.533,134.806,65.1,49.1,22.1,37.25,34.5,17.25,9.19,4.7,5.7,13.9,100.1,119,58.3,37.96,17.4,31.56,29.9,14.8,5.71,4.3,5.536,9.53,46.9,102,55.5,33.95,16.9,28.51,27.1,14.57,4.74,4.24,5.389,9.19,45.71,96.6,707643649.786,309604896.894,856.711,374.824,112,37,149
2002,4.98,309,5.107,309,5.317,310,5.758,311,4.98,289,49.305,1554870813.409,1882.41,17996.19,34,94,323,763542718.942,287354302.573,50770368.072,453203423.821,924.386,347.887,61.465,548.672,79.2,57.8,53.1,33.5,23.3,9.96,5.48,5.44,5.44,5.5,4.98,44.1,289,174,99.7,103,46.4,31.9,12.3,6.21,6.77,14.7,182,166,138.803,86.282,68.339,60.21,31.145,18.469,7.337,5.843,5.967,7.23,66.416,97.703,121,75.35,65.1,52.65,27.8,17.05,6.3,5.84,5.93,5.93,57.2,99,94.6,66.24,56.1,37.82,26,12.58,5.7,5.67,5.742,5.76,5.906,57.1,85.7,61.52,54.5,36.22,24.1,10.48,5.66,5.62,5.578,5.68,5.314,47.5,1403062559.059,338124670.646,1698.623,409.352,58,36,94
2003,2.68,271,2.75,277,2.77,277,2.975,278,2.68,312,66.032,2082395520.715,2521.06,24101.8,39,95,300,996312959.801,311927328.327,38440223.844,735715008.743,1206.19,377.636,46.538,890.696,96,51.5,42.6,39.1,14.1,6.32,5.8,3.49,2.68,2.72,39.7,83.6,252,181,229,146,37,14,7.2,6.46,3.69,312,134,132,159.052,97.461,124.9,89.687,20.303,9.676,6.296,5.052,3.104,101.675,70.71,104.581,154,83.85,141,90.7,16.2,8.05,6.2,4.98,3.035,52.2,69.05,105,110,71.2,43.8,58,15.5,6.544,6.01,4.33,2.918,3.78,47.36,94.2,102,61.42,43.6,47.03,14.7,6.486,5.98,4.27,2.847,2.87,41.78,89.4,1449516383.622,350367552.171,1754.862,424.174,97,90,187
2004,2.77,228,2.823,229,2.889,233,2.989,233,2.77,213,43.529,1376497153.433,1666.461,15931.68,39,120,330,609180480.236,135324864.432,35883648.056,596108160.709,737.507,163.832,43.443,721.681,53.5,54.3,28.6,22.9,9.02,2.99,2.85,2.77,3.17,14.9,45.4,69.3,180,120,70.9,63.7,22.7,9.73,3.45,3.66,14.9,42.8,107,213,104.629,78.49,49.387,31.58,13.476,6.704,3.069,3.105,7.465,24.5,88.61,112.31,99.4,73.7,49.8,25.55,13.7,8.51,3.09,3.03,6.895,23.3,89.2,97.7,66.7,62.88,32.6,23.66,9.39,3.396,2.91,2.95,3.45,16.9,83.82,81.9,58.9,60.28,29.9,23.19,9.34,3.263,2.89,2.9,3.217,15.9,77.14,73.7,1344895488.979,171208512.488,1628.203,207.274,167,21,188
2005,4.96,221,5.02,221,5.131,222,5.27,246,4.96,321,48.517,1530024769.106,1852.33,17708.62,36,108,310,604186559.64,391680577.249,52456896.112,481700736.106,731.461,474.19,63.507,583.173,33.5,37,19,44.8,15.6,8.17,5.8,4.96,5.02,5.81,52.4,26.4,321,137,47.4,129,83.9,40.4,11.9,5.7,13.3,90.9,117,187,126.339,75.85,30.729,93.827,38.248,17.761,8.563,5.322,5.89,18.588,90.113,74.052,63.2,68.9,29.4,98.1,33.1,15,7.93,5.29,5.41,15.8,99.2,43.9,42.9,45.74,23.7,77.46,18.2,10.46,6.82,5.17,5.278,6.5,65.86,32,37.4,41.13,22,61.49,16.5,9.372,6.19,5.09,5.235,6.03,58.41,28.9,1200294720.349,444137473.36,1453.141,537.697,98,72,170
2006,2.58,256,2.617,257,2.66,259,2.96,278,2.58,333,70.73,2230542143.487,2700.414,25816.46,32,128,329,976268160.46,239394526.845,31023648.036,983855808.147,1181.923,289.824,37.559,1191.109,139,51.4,43.2,30.7,20.8,5.75,3.11,3.27,2.58,3.05,5.23,104,297,236,69.6,66.1,31.4,30.4,5.73,5.36,3.44,5.78,333,276,205.323,114.893,55.4,46.297,26.758,18.412,4.45,4.251,2.978,4.175,192.926,176.452,205,100.25,52.5,50.75,27.9,21.45,4.47,4.46,2.985,3.5,183,187,159,60.72,47.1,31.68,23.8,7.554,3.48,3.43,2.74,3.13,154,118,144,53.72,45.9,31.08,23.6,6.164,3.38,3.34,2.658,3.08,26.86,106,1457968896.566,270418174.881,1765.096,327.383,161,97,258
2007,5.64,197,5.68,198,5.81,245,5.953,259,5.64,381,71.451,2253271392.841,2727.931,26079.53,45,102,319,1045543679.736,310594175.724,61282656.161,835850881.22,1265.791,376.022,74.192,1011.926,95.1,69.4,67.6,55,25,6.53,5.64,5.65,5.77,21.5,50.8,71.8,304,107,278,105,67.4,24.5,9.42,9.06,19.2,112,157,381,176.939,83.932,137.613,70.783,33.919,13.995,6.841,7.333,8.996,66.632,94.61,153.881,149,83.4,146,70.1,29.9,14.5,6.12,7.11,6.35,65.9,87.6,137,117,72.54,78.8,63.06,25.9,7.088,5.9,5.84,6,46.7,59.7,102,110,72.09,72.8,56.5,25.4,6.643,5.78,5.81,5.894,22.4,54.04,89.4,2029399487.882,371876831.886,2456.9,450.214,15,129,144
2008,5.3,218,5.33,220,5.449,221,5.669,232,5.3,166,40.588,1283504835.057,1553.88,14855.38,42,118,293,555906241.516,292714561.369,77844672.207,357039359.965,673.01,354.376,94.243,432.251,53.5,42.8,46.8,28.1,19.5,15,5.59,5.3,5.8,16.7,27.5,30.8,166,65.5,71,47.2,83.4,49.9,15.7,14.2,18.2,32.4,111,56,101.855,52.845,56.261,36.963,50.994,23.273,9.101,6.504,13.908,24.577,70.353,40.642,104,51.2,54.8,37.85,56.2,21.1,7.74,5.76,15.35,25.7,71.15,39.2,71.4,46.12,49.9,31.92,21.4,17.76,5.76,5.49,10.316,21.4,54.08,33,58.8,45.54,48.5,29.67,20.7,15.84,5.69,5.36,6.635,20.5,34.4,31.9,1391757122.736,370559233.576,1684.936,448.619,104,88,192
2009,5.48,242,5.533,264,5.579,268,5.625,271,5.48,407,53.163,1676542751.41,2029.713,19404.43,90,311,331,423973439.046,267626592.057,47885471.919,937057248.388,513.285,324.003,57.973,1134.452,32.8,27.3,28.5,38.6,16.6,7.03,5.92,5.48,5.5,5.5,63.9,83.2,121,49.2,90.2,68,63.3,16.4,7.03,6.5,5.76,84.2,407,239,73.642,36.961,51.268,54.763,36.806,10.454,6.449,5.977,5.633,20.928,208.24,127.406,76,35.8,41.3,57.1,33.2,9.27,6.39,5.82,5.625,12.2,192,112,50.9,30.06,31.1,43.92,21.2,7.704,6.12,5.67,5.598,7.3,102.96,94.5,35,29.03,29.7,40.16,17,7.522,6.11,5.62,5.578,7.17,71.59,88.3,781012799.012,315512063.976,945.536,381.976,65,47,112
2010,4.39,242,4.46,260,4.561,242,4.792,260,4.39,365,64.364,2029788286.606,2457.371,23492.92,36,109,317,865581118.946,414793440.485,43291584.077,706122143.098,1047.919,502.171,52.411,854.869,99.6,64.7,53.3,70,17.6,7.82,5.14,4.39,4.39,4.41,54.2,62.3,365,113,99.3,133,66.7,67.4,7.89,5.4,9.38,85.8,108,261,176.439,87.054,68.103,85.717,43.281,29.588,5.937,4.926,5.477,38.01,75.67,152.397,163,84.55,64.5,78.95,43.5,20.5,5.65,5,5.16,33.3,72.95,156,115,75.06,59.3,73.48,25.5,8.63,5.41,4.56,4.788,6.65,60.88,92.7,111,70.35,57,73.04,22.2,8.04,5.34,4.49,4.655,4.76,57.16,70.4,1802638367.334,458085024.562,2182.371,554.582,56,120,176
2011,5.68,256,5.84,258,5.893,260,6.21,264,5.68,222,57.972,1828219678.048,2213.341,21159.95,45,95,280,871732798.351,420056929.277,64668672.002,471761278.418,1055.367,508.543,78.291,571.14,91.7,65.1,58.1,50.9,29.9,6.38,6.26,6.09,5.68,12.9,35.5,37.9,211,130,222,107,74.5,50.4,11.5,10.4,26.8,51.7,193,135,135.171,86.582,112.094,77.207,53.548,29.519,8.702,7.31,8.403,38.419,66.76,73.11,128,80.5,100,81.1,55.7,30.9,8.92,6.8,6.16,41,41.85,61.1,108,71.4,68.7,53.4,37.5,13.1,6.66,6.4,5.954,31.5,37.7,44.5,103,67,63.6,52.03,34.3,10.061,6.42,6.27,5.895,31.4,37.23,41,1577854941.449,484725601.279,1910.236,586.835,32,161,193
2012,3.55,281,3.597,282,4.139,277,4.688,283,3.55,229,58.521,1850562829.413,2240.391,21418.551,45,110,320,809521439.999,395994144.301,63979200.082,584203103.846,980.05,479.412,77.457,707.268,76.8,73.7,64.1,68.9,22.2,15.1,6.44,5.53,4.08,3.55,57.1,63.4,229,133,132,94.1,85.3,25.4,17.6,7.12,5.99,68.6,130,194,128.374,94.09,85.277,79.5,50.994,19.555,12.847,6.104,5.101,15.778,89.493,115.732,122,90.4,83.15,74.85,48.4,18.1,13.9,5.9,5.245,11.2,79.3,97.4,96.9,84.04,71.58,71.94,36.4,16.18,10.3,5.72,4.658,4.26,65.2,78.8,87.4,81.48,68.03,70.95,27.6,15.88,7.43,5.61,4.148,3.98,62.52,73.1,1279378015.112,458125176.646,1548.884,554.631,27,115,142
