"Year","CY_MIN_01Day_SW","CY_MINDOY_01Day_SW","CY_MIN_03Day_SW","CY_MINDOY_03Day_SW","CY_MIN_07Day_SW","CY_MINDOY_07Day_SW","CY_MIN_30Day_SW","CY_MINDOY_30Day_SW","CY_MIN_DAILY_SW","CY_MAX_DAILY_SW","CY_MEAN_DAILY_SW","CY_TOTALQ_DAILY_SW","CY_YIELDMM_DAILY_SW","CY_CUMQ_DAILY_SW","CY_Date_25P_CUMQ_DAILY_SW","CY_Date_50P_CUMQ_DAILY_SW","CY_Date_75P_CUMQ_DAILY_SW","JFM_TOTALQ_DAILY_SW","AMJ_TOTALQ_DAILY_SW","JAS_TOTALQ_DAILY_SW","OND_TOTALQ_DAILY_SW","JFM_YIELDMM_DAILY_SW","AMJ_YIELDMM_DAILY_SW","JAS_YIELDMM_DAILY_SW","OND_YIELDMM_DAILY_SW","JAN_MIN_DAILY_SW","FEB_MIN_DAILY_SW","MAR_MIN_DAILY_SW","APR_MIN_DAILY_SW","MAY_MIN_DAILY_SW","JUN_MIN_DAILY_SW","JUL_MIN_DAILY_SW","AUG_MIN_DAILY_SW","SEP_MIN_DAILY_SW","OCT_MIN_DAILY_SW","NOV_MIN_DAILY_SW","DEC_MIN_DAILY_SW","JAN_MAX_DAILY_SW","FEB_MAX_DAILY_SW","MAR_MAX_DAILY_SW","APR_MAX_DAILY_SW","MAY_MAX_DAILY_SW","JUN_MAX_DAILY_SW","JUL_MAX_DAILY_SW","AUG_MAX_DAILY_SW","SEP_MAX_DAILY_SW","OCT_MAX_DAILY_SW","NOV_MAX_DAILY_SW","DEC_MAX_DAILY_SW","JAN_MEAN_DAILY_SW","FEB_MEAN_DAILY_SW","MAR_MEAN_DAILY_SW","APR_MEAN_DAILY_SW","MAY_MEAN_DAILY_SW","JUN_MEAN_DAILY_SW","JUL_MEAN_DAILY_SW","AUG_MEAN_DAILY_SW","SEP_MEAN_DAILY_SW","OCT_MEAN_DAILY_SW","NOV_MEAN_DAILY_SW","DEC_MEAN_DAILY_SW","JAN_P50_DAILY_SW","FEB_P50_DAILY_SW","MAR_P50_DAILY_SW","APR_P50_DAILY_SW","MAY_P50_DAILY_SW","JUN_P50_DAILY_SW","JUL_P50_DAILY_SW","AUG_P50_DAILY_SW","SEP_P50_DAILY_SW","OCT_P50_DAILY_SW","NOV_P50_DAILY_SW","DEC_P50_DAILY_SW","JAN_P20_DAILY_SW","FEB_P20_DAILY_SW","MAR_P20_DAILY_SW","APR_P20_DAILY_SW","MAY_P20_DAILY_SW","JUN_P20_DAILY_SW","JUL_P20_DAILY_SW","AUG_P20_DAILY_SW","SEP_P20_DAILY_SW","OCT_P20_DAILY_SW","NOV_P20_DAILY_SW","DEC_P20_DAILY_SW","JAN_P10_DAILY_SW","FEB_P10_DAILY_SW","MAR_P10_DAILY_SW","APR_P10_DAILY_SW","MAY_P10_DAILY_SW","JUN_P10_DAILY_SW","JUL_P10_DAILY_SW","AUG_P10_DAILY_SW","SEP_P10_DAILY_SW","OCT_P10_DAILY_SW","NOV_P10_DAILY_SW","DEC_P10_DAILY_SW","ONDJFM_TOTALQ_DAILY_SW","AMJJAS_TOTALQ_DAILY_SW","ONDJFM_YIELDMM_DAILY_SW","AMJJAS_YIELDMM_DAILY_SW","CY_N_BELOW_25","CY_N_ABOVE_75","CY_N_OUTSIDE_25_75"
1975,6.43,206,6.713,207,6.923,210,7.113,234,6.43,345,66.592,2100040992.348,2542.423,24306.03,89,297,325,532906559.141,307342080.564,98178912.526,1161613440.117,645.165,372.085,118.861,1406.312,63.4,40.5,49,39.6,31.7,7.25,6.43,6.91,10,10.6,119,69.4,108,68.5,98.3,49,62.9,38.8,19.6,26.3,26.7,182,345,265,83.345,51.218,69.358,44.047,52.074,20.717,10.776,8.993,17.45,76.045,212.5,152.006,83.3,50.25,68,43.6,54.7,19,8.21,7.25,17.4,49.8,210,151,70.8,46.02,58.3,42.62,43.9,8.668,7.14,7.02,10.76,22,160.8,102,68,43.6,53.8,41.57,34.8,7.818,7.02,7.02,10.59,16.1,144.9,81,1022548319.788,405520993.09,1237.952,490.946,31,160,191
1976,4.62,223,4.977,223,5.406,225,8.398,231,4.62,165,47.772,1510650430.854,1828.875,17484.38,37,91,160,756112319.933,430358398.516,96090623.657,228089088.748,915.39,521.015,116.332,276.137,90.3,66.5,47.6,56.4,48.1,13.9,8.69,4.62,9.17,7.5,17.5,26.1,165,125,104,85,72.5,56.6,36,12.9,18.9,16.2,34.3,95.1,124.203,96.079,68.216,69.627,61.568,32.787,14.89,8.824,12.568,9.83,24.817,51.313,123,99.7,66.3,69.4,62.6,32.85,11.4,8.81,12.35,9.63,20.6,55.5,110,81.86,53.5,60.18,53.8,20.76,10.2,5.95,10.36,8.21,18.46,30,106,72.24,50.4,57.5,50.7,19.05,10,5.27,9.977,7.99,17.6,27.4,1917725760.049,526449022.173,2321.702,637.347,75,143,218
1977,4.16,227,4.643,227,4.976,227,5.511,234,4.16,233,47.696,1504132415.302,1820.984,17408.94,69,244,334,506744640.526,213457248.18,52511327.999,731419198.597,613.492,258.423,63.573,885.495,40.2,34.5,52.4,41.9,9.83,5.78,5.35,4.16,5.66,10.7,88.3,68.2,96.3,80.1,147,57.8,41.1,25.9,6.63,6.71,14.9,62,198,233,56.258,60.446,78.342,48.183,20.42,13.069,6.07,5.683,8.114,20.197,118.573,138.135,54.4,66.8,69.4,47,11.7,11.8,6.12,5.55,6.97,13.2,114,129,44.7,41.24,60.3,44.5,10.2,6.394,5.86,5.27,5.914,11.6,98.12,94.6,41.1,37.57,58.6,43.27,9.91,6.329,5.8,5.04,5.852,11.2,93.28,77.6,734833729.274,265968576.179,889.629,321.996,74,42,116
1978,4.64,212,4.7,213,4.78,215,5.235,237,4.64,101,30.253,954043488.179,1155.016,11042.17,40,97,275,450567360.137,166250880.274,95011488.131,242213759.638,545.481,201.272,115.026,293.237,52.7,42.8,24,24.7,12.9,6.46,4.64,4.73,7.02,14.4,13.6,24.2,101,89.8,64,56.9,24.2,19.8,7.22,6.94,37.9,34,48.1,55.2,71.213,61.154,41.774,33.967,18.21,11.357,6.455,5.451,24.352,22.287,28.667,40.403,67.7,59.6,40.5,28.85,18.1,10.85,6.6,5.41,31.55,20.7,26.3,43.3,60.9,50.46,28.9,27.08,15.8,7.614,6.37,4.96,9.142,16.4,21,25.6,58.6,47.3,26.9,26.93,14.6,6.669,4.84,4.84,8.314,15.3,14.17,24.7,1181986558.733,261262368.404,1430.976,316.298,168,46,214
1979,3.84,187,3.92,188,3.941,177,4.255,193,3.84,336,43.571,1374065973.011,1663.518,15903.541,67,171,348,522210240.937,168313248.036,78099143.728,602527679.737,632.216,203.769,94.551,729.452,15.6,14.7,46.7,25.7,12.7,3.9,3.84,4.35,4.87,12.6,28.7,36.6,39.4,170,196,44.4,30.3,12.4,6.17,5.1,29.3,67.5,60.6,336,25.587,74.871,101.758,35.917,21.59,6.709,4.684,4.734,20.228,25.406,39.997,160.845,25.1,78.6,95.7,35.85,22.7,4.68,4.58,4.71,21.15,16.1,37.9,168,21,18.6,61.1,31.12,13.9,3.95,4.04,4.59,13.24,13.1,31.58,64.1,19.1,14.94,54.1,27.36,13.2,3.939,3.988,4.44,7.685,12.7,30.98,62.5,764424000.575,246912737.962,925.453,298.926,176,77,253
1980,4.42,244,4.43,244,4.897,245,5.298,259,4.42,385,58.66,1854959614.852,2245.714,21469.44,51,124,336,767707199.671,229981247.355,64524383.79,792746784.036,929.428,278.428,78.117,959.742,59.1,61.9,52.9,45.4,11.1,4.89,6.97,4.42,4.7,9.42,21.9,89.9,174,172,144,73,49.1,12.5,11.9,10.9,10.5,15.2,212,385,113.087,98.117,81.755,58.007,21.8,8.194,10.135,7.138,7.045,13.362,109.253,176.887,113,89.1,76.8,57.9,16.1,7.085,10.5,5.95,7.105,13.4,112.5,152,78.6,71.76,65.8,48.72,12.2,6.126,9.64,5.37,5.328,12.7,85.62,131,67.8,68.7,58,47.15,11.9,5.756,8.15,4.49,4.758,12,52.13,105,1370234879.408,294505631.145,1658.88,356.544,50,87,137
1981,4.66,252,4.833,249,4.931,253,5.529,260,4.66,244,60.312,1902007875.543,2302.673,22013.98,54,176,327,658255682.208,310749699.327,77556095.823,855446398.185,796.92,376.21,93.894,1035.649,68.5,40.1,26.5,31.9,14,8.16,8.28,4.89,4.66,24.3,89.2,69.1,244,213,93.9,75.9,73.2,41.1,37.1,8.23,17.6,158,202,221,108.326,99.425,47.635,57.743,41.355,19.411,14.522,6.672,8.021,43.958,138.72,141.184,87.3,81.1,41.1,57.1,31.7,13.05,11.7,6.9,5.685,40.5,136.5,138,77.9,46.98,29.4,46.86,19.9,9.934,8.91,5.82,5.06,31.1,117.8,105,73.3,43.44,27.6,38.77,18.2,9.135,8.5,5.73,4.903,30.2,99.07,81.7,1451002466.245,388305795.15,1756.662,470.104,46,159,205
1982,5.32,213,5.36,234,5.381,219,5.519,239,5.32,217,49.763,1569341089.081,1899.929,18163.67,51,120,321,688711680.396,239137920.43,58525632.05,582965856.205,833.791,289.513,70.854,705.77,42.8,68.4,39.4,23.9,28.5,12.6,5.41,5.32,5.59,7.32,42,69.2,158,201,138,45.3,42.7,28,16.2,6.12,7.14,105,93.7,217,73.623,123.164,72.268,37.597,36.732,16.707,10.356,5.573,6.119,29.832,67.283,122.71,61,119.5,63.3,39.05,39.4,14.6,9.95,5.48,6.065,11.5,65.7,113,46.8,80.82,42.3,31.16,31.2,13.4,6.2,5.38,5.784,9.87,50.7,84,44.4,73.1,41,26.27,30.3,13.19,6.15,5.36,5.705,7.55,44.27,80.2,1544158078.58,297663552.48,1869.441,360.367,50,59,109
1983,5.71,225,5.747,233,5.857,233,6.393,247,5.71,303,61.297,1933053984.488,2340.259,22373.31,45,75,317,1084121278.416,164309473.07,112688928.453,571934304.549,1312.495,198.922,136.427,692.414,89.6,68.1,64.3,14.8,6.47,6.07,13.4,5.71,7.99,6.67,17.3,36.5,199,303,177,78.3,20.4,12.8,43.9,17.9,14.6,17.2,290,109,129.448,177.014,115.432,41.33,14.22,7.367,23.71,7.266,11.467,9.933,142.33,65.865,121,205,111,39.85,16.9,6.57,19.8,6.11,11.25,8.95,125,68.9,104,83.36,74.5,17.88,9.22,6.328,15.8,5.84,9.062,7.08,54.52,43.3,99.4,74.15,70,17.64,6.84,6.272,14.1,5.74,8.663,6.91,40.9,40.4,1667087134.621,276998401.523,2018.265,335.349,89,125,214
1984,4.12,203,4.42,203,5.021,207,5.262,246,4.12,197,58.121,1837929307.46,2225.096,21272.33,54,123,311,744551998.351,380806272.043,66518495.947,646052541.119,901.395,461.025,80.531,782.146,43,60.8,66.9,49.3,34.8,7.45,4.12,4.85,5.13,9.06,44.3,45.8,197,127,111,78.2,80.7,60,17.5,5.77,17.3,111,182,148,107.542,91.662,84.694,64.723,55.655,24.683,10.028,5.284,9.841,55.718,110.083,78.958,89.4,96,83.3,64.65,55.4,18.1,8.96,5.29,8.92,57.6,108.5,77.6,77.2,70.44,71.8,57.26,44.2,9.294,5.5,5.12,6.036,25.9,98.74,59.7,74.2,65.38,71.2,56.42,37.3,8.753,5.41,5.05,5.299,10.1,89.31,51.6,1316486302.9,447324767.99,1593.809,541.555,20,126,146
