"Year","Measure","value"
1998,"Q003-avg",3.997
1998,"Q007-avg",4.019
1998,"Q015-avg",4.095
1998,"Q030-avg",4.137
1998,"Q060-avg",4.261
1998,"Q090-avg",4.393
1999,"Q001-avg",6.01
1999,"Q003-avg",6.12
1999,"Q007-avg",6.236
1999,"Q015-avg",6.327
1999,"Q030-avg",6.412
1999,"Q060-avg",7.151
1999,"Q090-avg",9.398
2000,"Q001-avg",5.23
2000,"Q003-avg",5.3
2000,"Q007-avg",5.391
2000,"Q015-avg",5.448
2000,"Q030-avg",5.525
2000,"Q060-avg",5.816
2000,"Q090-avg",6.887
2001,"Q001-avg",4.21
2001,"Q003-avg",4.227
2001,"Q007-avg",4.264
2001,"Q015-avg",4.413
2001,"Q030-avg",4.705
2001,"Q060-avg",5.321
2001,"Q090-avg",6.595
2002,"Q001-avg",4.98
2002,"Q003-avg",5.107
2002,"Q007-avg",5.317
2002,"Q015-avg",5.591
2002,"Q030-avg",5.758
2002,"Q060-avg",5.853
2002,"Q090-avg",6.168
2003,"Q001-avg",2.68
2003,"Q003-avg",2.75
2003,"Q007-avg",2.77
2003,"Q015-avg",2.897
2003,"Q030-avg",2.975
2003,"Q060-avg",3.718
2003,"Q090-avg",4.517
2004,"Q001-avg",2.77
2004,"Q003-avg",2.823
2004,"Q007-avg",2.889
2004,"Q015-avg",2.953
2004,"Q030-avg",2.989
2004,"Q060-avg",3.064
2004,"Q090-avg",3.345
2005,"Q001-avg",4.96
2005,"Q003-avg",5.02
2005,"Q007-avg",5.131
2005,"Q015-avg",5.235
2005,"Q030-avg",5.27
2005,"Q060-avg",5.404
2005,"Q090-avg",6.266
2006,"Q001-avg",2.58
2006,"Q003-avg",2.617
2006,"Q007-avg",2.66
2006,"Q015-avg",2.803
2006,"Q030-avg",2.96
2006,"Q060-avg",3.157
2006,"Q090-avg",3.658
2007,"Q001-avg",5.64
2007,"Q003-avg",5.68
2007,"Q007-avg",5.81
2007,"Q015-avg",5.84
2007,"Q030-avg",5.953
2007,"Q060-avg",7.105
2007,"Q090-avg",7.008
2008,"Q001-avg",5.3
2008,"Q003-avg",5.33
2008,"Q007-avg",5.449
2008,"Q015-avg",5.57
2008,"Q030-avg",5.669
2008,"Q060-avg",7.133
2008,"Q090-avg",9.533
2009,"Q001-avg",5.48
2009,"Q003-avg",5.533
2009,"Q007-avg",5.579
2009,"Q015-avg",5.593
2009,"Q030-avg",5.625
2009,"Q060-avg",5.769
2009,"Q090-avg",5.973
2010,"Q001-avg",4.39
2010,"Q003-avg",4.46
2010,"Q007-avg",4.561
2010,"Q015-avg",4.648
2010,"Q030-avg",4.792
2010,"Q060-avg",5.028
2010,"Q090-avg",5.265
2011,"Q001-avg",5.68
2011,"Q003-avg",5.84
2011,"Q007-avg",5.893
2011,"Q015-avg",5.969
2011,"Q030-avg",6.21
2011,"Q060-avg",7.15
2011,"Q090-avg",7.552
