"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",110.468,92.692,NA,57.237,NA,NA,NA,6.07,8.99,26.824,85.114,113.266,NA
"median",98.65,82.9,NA,52.4,NA,NA,NA,5.55,6.055,14.2,71.1,104,NA
"max",450,303,NA,154,NA,NA,NA,87.9,84.9,312,407,425,NA
"min",15.6,14.7,NA,8.67,NA,NA,NA,2.77,2.58,2.72,3.28,24.2,NA
