"Month","mean","median","max","min"
1,110.468,98.65,450,15.6
2,92.692,82.9,303,14.7
3,NA,NA,NA,NA
4,57.237,52.4,154,8.67
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,6.07,5.55,87.9,2.77
9,8.99,6.055,84.9,2.58
10,26.824,14.2,312,2.72
11,85.114,71.1,407,3.28
12,113.266,104,425,24.2
13,NA,NA,NA,NA
