"Year","Measure","value","prob","dist.prob"
1937,"Q001-avg",8.5,0.0119047619047619,2.26018899132938
1943,"Q001-avg",11.7,0.0238095238095238,1.98075239664728
1933,"Q001-avg",12,0.0357142857142857,1.80274309073919
1952,"Q001-avg",13,0.0476190476190476,1.66839119394708
1949,"Q001-avg",13.4,0.0595238095238095,1.55878354950299
1944,"Q001-avg",13.8,0.0714285714285714,1.46523379268552
1980,"Q001-avg",13.8,0.0833333333333333,1.38299412710064
1936,"Q001-avg",13.9,0.0952380952380952,1.30917171678578
1953,"Q001-avg",14.4,0.107142857142857,1.24186679184332
1993,"Q001-avg",14.4,0.119047619047619,1.17976111761186
2001,"Q001-avg",14.5,0.130952380952381,1.12190046746235
1988,"Q001-avg",15.2,0.142857142857143,1.06757052387814
1939,"Q001-avg",15.4,0.154761904761905,1.01622173274056
1985,"Q001-avg",15.4,0.166666666666667,0.967421566101701
1978,"Q001-avg",15.7,0.178571428571429,0.920822976368379
2008,"Q001-avg",15.9,0.19047619047619,0.876142849246841
1975,"Q001-avg",16,0.202380952380952,0.83314686607961
1948,"Q001-avg",16.1,0.214285714285714,0.791638607743375
1945,"Q001-avg",16.3,0.226190476190476,0.751451543849005
1977,"Q001-avg",16.3,0.238095238095238,0.712443032389489
1992,"Q001-avg",16.3,0.25,0.674489750196082
1946,"Q001-avg",16.7,0.261904761904762,0.637484160962377
1979,"Q001-avg",16.7,0.273809523809524,0.601331748370625
1987,"Q001-avg",16.7,0.285714285714286,0.565948821932863
1955,"Q001-avg",16.9,0.297619047619048,0.531260757363574
2012,"Q001-avg",16.9,0.30952380952381,0.497200570681554
1962,"Q001-avg",17,0.321428571428571,0.463707751457179
1994,"Q001-avg",17,0.333333333333333,0.430727299295458
2014,"Q001-avg",17,0.345238095238095,0.39820892113366
1957,"Q001-avg",17.1,0.357142857142857,0.36610635680057
1964,"Q001-avg",17.1,0.369047619047619,0.334376807588814
1969,"Q001-avg",17.1,0.380952380952381,0.302980448056207
1950,"Q001-avg",17.4,0.392857142857143,0.271880005399261
1995,"Q001-avg",17.5,0.404761904761905,0.241040393886027
1956,"Q001-avg",17.6,0.416666666666667,0.210428394247925
2009,"Q001-avg",17.6,0.428571428571429,0.180012369792705
1973,"Q001-avg",17.7,0.44047619047619,0.149762012444627
1989,"Q001-avg",17.7,0.452380952380952,0.119648113039842
1947,"Q001-avg",17.8,0.464285714285714,0.0896423510757625
1974,"Q001-avg",17.9,0.476190476190476,0.0597170997853229
1941,"Q001-avg",18,0.488095238095238,0.0298452429192394
1972,"Q001-avg",18,0.5,0
2000,"Q001-avg",18,0.511904761904762,-0.0298452429192394
1959,"Q001-avg",18.1,0.523809523809524,-0.0597170997853229
1938,"Q001-avg",18.2,0.535714285714286,-0.0896423510757625
2003,"Q001-avg",18.4,0.547619047619048,-0.119648113039842
2011,"Q001-avg",18.4,0.55952380952381,-0.149762012444627
1942,"Q001-avg",18.5,0.571428571428571,-0.180012369792705
1954,"Q001-avg",18.6,0.583333333333333,-0.210428394247925
1991,"Q001-avg",18.7,0.595238095238095,-0.241040393886027
2002,"Q001-avg",18.7,0.607142857142857,-0.271880005399261
1935,"Q001-avg",18.9,0.619047619047619,-0.302980448056207
1966,"Q001-avg",19,0.630952380952381,-0.334376807588814
2004,"Q001-avg",19,0.642857142857143,-0.36610635680057
2007,"Q001-avg",19,0.654761904761905,-0.39820892113366
1968,"Q001-avg",19.5,0.666666666666667,-0.430727299295457
1958,"Q001-avg",19.6,0.678571428571429,-0.463707751457179
2006,"Q001-avg",19.7,0.69047619047619,-0.497200570681554
1986,"Q001-avg",19.8,0.702380952380952,-0.531260757363574
1960,"Q001-avg",19.9,0.714285714285714,-0.565948821932863
1976,"Q001-avg",19.9,0.726190476190476,-0.601331748370625
1970,"Q001-avg",20,0.738095238095238,-0.637484160962377
2010,"Q001-avg",20.2,0.75,-0.674489750196082
1984,"Q001-avg",20.4,0.761904761904762,-0.712443032389489
1961,"Q001-avg",20.6,0.773809523809524,-0.751451543849005
1971,"Q001-avg",20.8,0.785714285714286,-0.791638607743375
1967,"Q001-avg",21.2,0.797619047619048,-0.83314686607961
1940,"Q001-avg",21.8,0.80952380952381,-0.876142849246841
2013,"Q001-avg",22.6,0.821428571428571,-0.920822976368379
1990,"Q001-avg",22.7,0.833333333333333,-0.967421566101701
1965,"Q001-avg",22.8,0.845238095238095,-1.01622173274056
1998,"Q001-avg",23.1,0.857142857142857,-1.06757052387814
1999,"Q001-avg",23.5,0.869047619047619,-1.12190046746235
1997,"Q001-avg",23.9,0.880952380952381,-1.17976111761186
1934,"Q001-avg",24,0.892857142857143,-1.24186679184332
2005,"Q001-avg",24.4,0.904761904761905,-1.30917171678578
1982,"Q001-avg",24.6,0.916666666666667,-1.38299412710064
1963,"Q001-avg",25.2,0.928571428571429,-1.46523379268552
2015,"Q001-avg",25.3,0.94047619047619,-1.55878354950299
1983,"Q001-avg",25.8,0.952380952380952,-1.66839119394708
1951,"Q001-avg",26,0.964285714285714,-1.80274309073919
1996,"Q001-avg",27.8,0.976190476190476,-1.98075239664728
1981,"Q001-avg",29.2,0.988095238095238,-2.26018899132938
1937,"Q003-avg",8.5,0.0119047619047619,2.26018899132938
1943,"Q003-avg",11.8666666666667,0.0238095238095238,1.98075239664728
1933,"Q003-avg",12.5,0.0357142857142857,1.80274309073919
1952,"Q003-avg",13.2666666666667,0.0476190476190476,1.66839119394708
1949,"Q003-avg",13.4666666666667,0.0595238095238095,1.55878354950299
