"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Jul",201,201,0,201,0,"P35"
"Jun",340,340,0,340,0,"P35"
"Mar",28.5,28.5,0,28.5,0,"P35"
"May",252.8,252.8,5.6843418860808e-14,252.8,2.24855296126614e-16,"P35"
"Nov",43.3,43.3,0,43.3,0,"P35"
"Oct",42.3,42.3,0,42.3,0,"P35"
"Sep",44.6,44.6,0,44.6,0,"P35"
"Apr",65.3,65.3,0,65.3,0,"P40"
"Aug",68.8,68.8,0,68.8,0,"P40"
"Dec",31.1,31.1,0,31.1,0,"P40"
"Feb",22.8,22.8,0,22.8,0,"P40"
"Jan",25.9,25.9,0,25.9,0,"P40"
"Jul",186,186,0,186,0,"P40"
"Jun",328,328,0,328,0,"P40"
"Mar",27,27,0,27,0,"P40"
"May",234.2,234.2,-5.6843418860808e-14,234.2,2.42713146288676e-16,"P40"
"Nov",41.3,41.3,0,41.3,0,"P40"
"Oct",40.5,40.5,0,40.5,0,"P40"
"Sep",42.2,42.2,0,42.2,0,"P40"
"Apr",60.4,60.4,0,60.4,0,"P45"
"Aug",65.7,65.7,0,65.7,0,"P45"
"Dec",29.7,29.7,0,29.7,0,"P45"
"Feb",22,22,0,22,0,"P45"
"Jan",24.9,24.9,0,24.9,0,"P45"
"Jul",173,173,0,173,0,"P45"
"Jun",314,314,0,314,0,"P45"
"Mar",25.7,25.7,0,25.7,0,"P45"
"May",217,217,0,217,0,"P45"
"Nov",39.1,39.1,0,39.1,0,"P45"
"Oct",38.8,38.8,0,38.8,0,"P45"
"Sep",40.2,40.2,0,40.2,0,"P45"
"Apr",56.7,56.7,0,56.7,0,"P50"
"Aug",62.8,62.8,0,62.8,0,"P50"
"Dec",28.3,28.3,0,28.3,0,"P50"
"Feb",21.2,21.2,0,21.2,0,"P50"
"Jan",23.8,23.8,0,23.8,0,"P50"
"Jul",160,160,0,160,0,"P50"
"Jun",304,304,0,304,0,"P50"
"Mar",24.8,24.8,0,24.8,0,"P50"
"May",199,199,0,199,0,"P50"
"Nov",36.8,36.8,0,36.8,0,"P50"
"Oct",37,37,0,37,0,"P50"
"Sep",38.5,38.5,0,38.5,0,"P50"
"Apr",52.7,52.7,0,52.7,0,"P55"
"Aug",59.2,59.2,0,59.2,0,"P55"
"Dec",27.1,27.1,0,27.1,0,"P55"
"Feb",20.5,20.5,0,20.5,0,"P55"
"Jan",22.9,22.9,0,22.9,0,"P55"
"Jul",148,148,0,148,0,"P55"
"Jun",292,292,0,292,0,"P55"
"Mar",23.6,23.6,0,23.6,0,"P55"
"May",184,184,0,184,0,"P55"
"Nov",34.305,34.305,7.105427357601e-15,34.305,2.07125123381461e-16,"P55"
"Oct",34.8,34.8,0,34.8,0,"P55"
"Sep",36.8,36.8,0,36.8,0,"P55"
"Apr",49.3,49.3,0,49.3,0,"P60"
"Aug",56.2,56.2,0,56.2,0,"P60"
"Dec",26.1,26.1,0,26.1,0,"P60"
"Feb",20,20,0,20,0,"P60"
"Jan",22.18,22.18,3.5527136788005e-15,22.18,1.60176450802547e-16,"P60"
"Jul",137,137,0,137,0,"P60"
"Jun",280,280,0,280,0,"P60"
"Mar",22.4,22.4,0,22.4,0,"P60"
"May",171,171,0,171,0,"P60"
"Nov",32.6,32.6,0,32.6,0,"P60"
"Oct",33.1,33.1,0,33.1,0,"P60"
"Sep",35.4,35.4,0,35.4,0,"P60"
"Apr",46.2,46.2,0,46.2,0,"P65"
"Aug",53.4,53.4,0,53.4,0,"P65"
"Dec",25.1,25.1,0,25.1,0,"P65"
"Feb",19.4,19.4,0,19.4,0,"P65"
"Jan",21.4,21.4,0,21.4,0,"P65"
"Jul",128,128,0,128,0,"P65"
"Jun",269,269,0,269,0,"P65"
"Mar",21.2,21.2,0,21.2,0,"P65"
"May",159,159,0,159,0,"P65"
"Nov",31,31,0,31,0,"P65"
"Oct",31.42,31.42,1.06581410364015e-14,31.42,3.39215182571658e-16,"P65"
"Sep",34,34,0,34,0,"P65"
"Apr",42.87,42.87,-1.4210854715202e-14,42.87,3.31487163872218e-16,"P70"
"Aug",50.7,50.7,0,50.7,0,"P70"
"Dec",24.1,24.1,0,24.1,0,"P70"
"Feb",18.9,18.9,0,18.9,0,"P70"
"Jan",20.7,20.7,0,20.7,0,"P70"
"Jul",118,118,0,118,0,"P70"
"Jun",257,257,0,257,0,"P70"
"Mar",20.3,20.3,0,20.3,0,"P70"
"May",148,148,0,148,0,"P70"
"Nov",29.4,29.4,0,29.4,0,"P70"
"Oct",29.7,29.7,0,29.7,0,"P70"
"Sep",32.77,32.77,-1.4210854715202e-14,32.77,4.33654400830088e-16,"P70"
"Apr",40.225,40.225,0,40.225,0,"P75"
"Aug",47.8,47.8,0,47.8,0,"P75"
"Dec",23.3,23.3,0,23.3,0,"P75"
"Feb",18.4,18.4,0,18.4,0,"P75"
"Jan",19.8,19.8,0,19.8,0,"P75"
"Jul",109,109,0,109,0,"P75"
"Jun",243,243,0,243,0,"P75"
"Mar",19.3,19.3,0,19.3,0,"P75"
"May",136,136,0,136,0,"P75"
"Nov",27.8,27.8,0,27.8,0,"P75"
"Oct",28.1,28.1,0,28.1,0,"P75"
"Sep",31.4,31.4,0,31.4,0,"P75"
"Apr",36.18,36.18,7.105427357601e-15,36.18,1.96391027020481e-16,"P80"
"Aug",44.7,44.7,0,44.7,0,"P80"
"Dec",22.1,22.1,0,22.1,0,"P80"
"Feb",18,18,0,18,0,"P80"
"Jan",18.9,18.9,0,18.9,0,"P80"
"Jul",101,101,0,101,0,"P80"
"Jun",230,230,0,230,0,"P80"
"Mar",18.6,18.6,0,18.6,0,"P80"
"May",124,124,0,124,0,"P80"
"Nov",26.2,26.2,0,26.2,0,"P80"
"Oct",26.7,26.7,0,26.7,0,"P80"
"Sep",30.1,30.1,0,30.1,0,"P80"
"Apr",32.3,32.3,0,32.3,0,"P85"
"Aug",42.3,42.3,0,42.3,0,"P85"
"Dec",21,21,0,21,0,"P85"
"Feb",17.3,17.3,0,17.3,0,"P85"
"Jan",18.3,18.3,0,18.3,0,"P85"
"Jul",92.24,92.24,-2.8421709430404e-14,92.24,3.08127812558586e-16,"P85"
"Jun",217,217,0,217,0,"P85"
"Mar",18,18,0,18,0,"P85"
"May",112,112,0,112,0,"P85"
"Nov",24.4,24.4,0,24.4,0,"P85"
"Oct",25.3,25.3,0,25.3,0,"P85"
"Sep",28.9,28.9,0,28.9,0,"P85"
"Apr",28.6,28.6,0,28.6,0,"P90"
"Aug",39.4,39.4,0,39.4,0,"P90"
"Dec",19.7,19.7,0,19.7,0,"P90"
"Feb",16.6,16.6,0,16.6,0,"P90"
"Jan",17.6,17.6,0,17.6,0,"P90"
"Jul",81.86,81.86,2.8421709430404e-14,81.86,3.47198991331591e-16,"P90"
"Jun",201,201,0,201,0,"P90"
"Mar",17.3,17.3,0,17.3,0,"P90"
"May",97.02,97.02,0,97.02,0,"P90"
"Nov",22.3,22.3,0,22.3,0,"P90"
"Oct",23.7,23.7,0,23.7,0,"P90"
"Sep",27.4,27.4,0,27.4,0,"P90"
"Apr",23.6,23.6,0,23.6,0,"P95"
"Aug",36,36,0,36,0,"P95"
"Dec",18.4,18.4,0,18.4,0,"P95"
"Feb",15.3,15.3,0,15.3,0,"P95"
"Jan",16.46,16.46,-1.06581410364015e-14,16.46,6.4751768143387e-16,"P95"
"Jul",72.98,72.98,-2.8421709430404e-14,72.98,3.89445182658317e-16,"P95"
"Jun",175,175,0,175,0,"P95"
"Mar",15.6,15.6,0,15.6,0,"P95"
"May",79.66,79.66,-1.4210854715202e-14,79.66,1.78393857835827e-16,"P95"
"Nov",19.545,19.545,-1.06581410364015e-14,19.545,5.45312920767536e-16,"P95"
"Oct",21.8,21.8,0,21.8,0,"P95"
"Sep",25.945,25.945,-1.06581410364015e-14,25.945,4.10797496103353e-16,"P95"
"Apr",18.389,18.389,0,18.389,0,"P99"
"Aug",31.044,31.044,-3.5527136788005e-15,31.044,1.14441234338375e-16,"P99"
"Dec",15,15,0,15,0,"P99"
"Feb",13.4,13.4,0,13.4,0,"P99"
"Jan",11.588,11.588,-1.06581410364015e-14,11.588,9.19756734242449e-16,"P99"
"Jul",57.444,57.444,0,57.444,0,"P99"
"Jun",143,143,0,143,0,"P99"
"Mar",14,14,0,14,0,"P99"
"May",55.772,55.772,0,55.772,0,"P99"
"Nov",15.9,15.9,0,15.9,0,"P99"
"Oct",18.9,18.9,0,18.9,0,"P99"
"Sep",23.8,23.8,0,23.8,0,"P99"
