"Year","Measure","value.Q","value.HEC","diff","mean","pdiff"
0.01,"Q015-avg-q",11.3753723000397,11.252,0.1233723000397,11.3136861500199,0.0109046952870867
0.05,"Q001-avg-q",12.8239398630033,12.709,0.114939863003301,12.7664699315016,0.00900326116929809
0.05,"Q001-avg-q",12.8239398630033,12.709,0.114939863003301,12.7664699315016,0.00900326116929809
0.05,"Q003-avg-q",12.9924696487699,12.862,0.1304696487699,12.9272348243849,0.0100926184557112
0.05,"Q003-avg-q",12.9924696487699,12.862,0.1304696487699,12.9272348243849,0.0100926184557112
0.05,"Q007-avg-q",13.1505892134117,13.051,0.0995892134117007,13.1007946067059,0.00760176893092609
0.05,"Q007-avg-q",13.1505892134117,13.051,0.0995892134117007,13.1007946067059,0.00760176893092609
0.05,"Q015-avg-q",13.4359487389021,13.354,0.081948738902101,13.394974369451,0.00611787201989692
0.05,"Q015-avg-q",13.4359487389021,13.354,0.081948738902101,13.394974369451,0.00611787201989692
0.1,"Q001-avg-q",13.9678994505864,13.894,0.0738994505863992,13.9309497252932,0.00530469580636175
0.1,"Q001-avg-q",13.9678994505864,13.894,0.0738994505863992,13.9309497252932,0.00530469580636175
0.1,"Q003-avg-q",14.1494071576604,14.068,0.0814071576604007,14.1087035788302,0.00576999560629726
0.1,"Q003-avg-q",14.1494071576604,14.068,0.0814071576604007,14.1087035788302,0.00576999560629726
0.1,"Q007-avg-q",14.3140645528666,14.251,0.0630645528666012,14.2825322764333,0.00441550221249351
0.1,"Q007-avg-q",14.3140645528666,14.251,0.0630645528666012,14.2825322764333,0.00441550221249351
0.1,"Q015-avg-q",14.6171265815754,14.565,0.0521265815754006,14.5910632907877,0.00357250054616044
0.1,"Q015-avg-q",14.6171265815754,14.565,0.0521265815754006,14.5910632907877,0.00357250054616044
0.2,"Q001-avg-q",15.4159197005588,15.397,0.0189197005587989,15.4064598502794,0.00122803685873726
0.2,"Q001-avg-q",15.4159197005588,15.397,0.0189197005587989,15.4064598502794,0.00122803685873726
0.2,"Q003-avg-q",15.6110929407657,15.593,0.0180929407656993,15.6020464703828,0.00115965176748095
0.2,"Q003-avg-q",15.6110929407657,15.593,0.0180929407656993,15.6020464703828,0.00115965176748095
0.2,"Q007-avg-q",15.7942847068591,15.78,0.014284706859101,15.7871423534295,0.000904831700336054
0.2,"Q007-avg-q",15.7942847068591,15.78,0.014284706859101,15.7871423534295,0.000904831700336054
0.2,"Q015-avg-q",16.1266242302738,16.113,0.0136242302738019,16.1198121151369,0.000845185426262406
0.2,"Q015-avg-q",16.1266242302738,16.113,0.0136242302738019,16.1198121151369,0.000845185426262406
0.5,"Q001-avg-q",18.382262281587,18.451,-0.0687377184130007,18.4166311407935,0.00373237200047647
0.5,"Q001-avg-q",18.382262281587,18.451,-0.0687377184130007,18.4166311407935,0.00373237200047647
0.5,"Q003-avg-q",18.5969773085739,18.678,-0.0810226914260994,18.637488654287,0.00434729661967965
0.5,"Q003-avg-q",18.5969773085739,18.678,-0.0810226914260994,18.637488654287,0.00434729661967965
0.5,"Q007-avg-q",18.8496267534112,18.911,-0.0613732465888006,18.8803133767056,0.00325064766480637
0.5,"Q007-avg-q",18.8496267534112,18.911,-0.0613732465888006,18.8803133767056,0.00325064766480637
0.5,"Q015-avg-q",19.2631665129196,19.311,-0.0478334870803998,19.2870832564598,0.00248007884055662
0.5,"Q015-avg-q",19.2631665129196,19.311,-0.0478334870803998,19.2870832564598,0.00248007884055662
0.8,"Q001-avg-q",21.6136155157667,21.68,-0.0663844842332999,21.6468077578834,0.00306671011152321
0.8,"Q001-avg-q",21.6136155157667,21.68,-0.0663844842332999,21.6468077578834,0.00306671011152321
0.8,"Q003-avg-q",21.8386574437123,21.91,-0.0713425562876999,21.8743287218562,0.00326147408658153
0.8,"Q003-avg-q",21.8386574437123,21.91,-0.0713425562876999,21.8743287218562,0.00326147408658153
0.8,"Q007-avg-q",22.2079319858984,22.267,-0.059068014101598,22.2374659929492,0.00265623853546652
0.8,"Q007-avg-q",22.2079319858984,22.267,-0.059068014101598,22.2374659929492,0.00265623853546652
0.8,"Q015-avg-q",22.7377274777379,22.785,-0.0472725222621015,22.761363738869,0.00207687565668025
0.8,"Q015-avg-q",22.7377274777379,22.785,-0.0472725222621015,22.761363738869,0.00207687565668025
0.9,"Q001-avg-q",23.4109488957684,23.409,0.0019488957684004,23.4099744478842,8.32506576518945e-05
0.9,"Q001-avg-q",23.4109488957684,23.409,0.0019488957684004,23.4099744478842,8.32506576518945e-05
0.9,"Q003-avg-q",23.6375211893591,23.627,0.0105211893590997,23.6322605946796,0.000445204525269513
0.9,"Q003-avg-q",23.6375211893591,23.627,0.0105211893590997,23.6322605946796,0.000445204525269513
0.9,"Q007-avg-q",24.0874534797687,24.089,-0.00154652023129742,24.0882267398843,6.4202327883968e-05
0.9,"Q007-avg-q",24.0874534797687,24.089,-0.00154652023129742,24.0882267398843,6.4202327883968e-05
0.9,"Q015-avg-q",24.6926894864899,24.694,-0.00131051351009859,24.6933447432449,5.30715269124118e-05
0.9,"Q015-avg-q",24.6926894864899,24.694,-0.00131051351009859,24.6933447432449,5.30715269124118e-05
0.95,"Q001-avg-q",24.9523049361741,24.847,0.1053049361741,24.8996524680871,0.00422917292958469
0.95,"Q001-avg-q",24.9523049361741,24.847,0.1053049361741,24.8996524680871,0.00422917292958469
0.95,"Q003-avg-q",25.1780648544361,25.046,0.132064854436102,25.1120324272181,0.00525902691543842
0.95,"Q003-avg-q",25.1780648544361,25.046,0.132064854436102,25.1120324272181,0.00525902691543842
0.95,"Q007-avg-q",25.7051427507348,25.617,0.0881427507348,25.6610713753674,0.00343488194415024
0.95,"Q007-avg-q",25.7051427507348,25.617,0.0881427507348,25.6610713753674,0.00343488194415024
0.95,"Q015-avg-q",26.3805379473247,26.31,0.0705379473247021,26.3452689736623,0.00267744267083474
0.95,"Q015-avg-q",26.3805379473247,26.31,0.0705379473247021,26.3452689736623,0.00267744267083474
0.99,"Q001-avg-q",27.9851439524202,27.54,0.445143952420199,27.7625719762101,0.0160339594185166
0.99,"Q001-avg-q",27.9851439524202,27.54,0.445143952420199,27.7625719762101,0.0160339594185166
0.99,"Q003-avg-q",28.2041624583066,27.681,0.523162458306601,27.9425812291533,0.0187227677363167
0.99,"Q003-avg-q",28.2041624583066,27.681,0.523162458306601,27.9425812291533,0.0187227677363167
0.99,"Q007-avg-q",28.9023627097327,28.519,0.383362709732701,28.7106813548663,0.0133526162264945
0.99,"Q007-avg-q",28.9023627097327,28.519,0.383362709732701,28.7106813548663,0.0133526162264945
0.99,"Q015-avg-q",29.7290789171513,29.417,0.312078917151297,29.5730394585756,0.0105528184746935
0.99,"Q015-avg-q",29.7290789171513,29.417,0.312078917151297,29.5730394585756,0.0105528184746935
1933,"Q001-avg",12,12,0,12,0
1933,"Q001-pp",0.0357142857142857,0.0357,1.42857142857028e-05,0.0357071428571428,0.000400080016002879
1933,"Q003-avg",12.5,12.5,0,12.5,0
1933,"Q003-pp",0.0357142857142857,0.0357,1.42857142857028e-05,0.0357071428571428,0.000400080016002879
1933,"Q007-avg",13.6142857142857,13.614,0.000285714285698901,13.6141428571429,2.09865790815466e-05
1933,"Q007-pp",0.0357142857142857,0.0357,1.42857142857028e-05,0.0357071428571428,0.000400080016002879
1933,"Q015-avg",15.8733333333333,15.873,0.00033333333329999,15.8731666666666,2.09998004997946e-05
1933,"Q015-pp",0.166666666666667,0.1667,-3.33333333330244e-05,0.166683333333334,0.000199980001997946
1934,"Q001-avg",24,24,0,24,0
1934,"Q001-pp",0.892857142857143,0.8929,-4.28571428570113e-05,0.892878571428572,4.79988480274999e-05
