"Month","mean","median","max","min"
1,25.222,23.8,78.7,8.5
2,23.632,21.2,103,8.5
3,28.095,24.8,119,13.2
4,67.82,56.7,384,15.3
5,217.332,199,606,35.1
6,313.786,304,694,107
7,179.309,160,602,46.7
8,70.036,62.8,230,27.9
9,44.174,38.5,151,22.2
10,40.938,37,133,17.2
11,39.842,36.8,241,13
12,31.187,28.3,113,13.7
13,90.329,42.5,694,8.5
