"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",25.2220870579091,23.6316766211604,28.0954527788574,67.8198795180723,217.33179168286,313.786345381526,179.308900116595,70.036455499417,44.1738152610442,40.9384764865915,39.8424899598394,31.1869801787796,90.3288101599868
"median",23.8,21.2,24.8,56.7,199,304,160,62.8,38.5,37,36.8,28.3,42.5
"max",78.7,103,119,384,606,694,602,230,151,133,241,113,694
"min",8.5,8.5,13.2,15.3,35.1,107,46.7,27.9,22.2,17.2,13,13.7,8.5
