"Year","Measure","value"
2012,"Q001-avg",0.454
2012,"Q003-avg",0.458666666666667
2012,"Q007-avg",0.471428571428571
2012,"Q015-avg",0.483866666666667
2013,"Q001-avg",0.562
2013,"Q003-avg",0.589
2013,"Q007-avg",0.652714285714286
2013,"Q015-avg",0.7286
2014,"Q001-avg",0.13
2014,"Q003-avg",0.149
2014,"Q007-avg",0.369
2014,"Q015-avg",0.5318
