"Month","mean","median","max","min"
1,2.38970833333333,1.525,96.2,0.22
2,2.2542637283237,1.67,32,0.245
3,3.01078999341672,1.97,65.8,0.352
4,7.76771428571429,5.6,46.5,0.717
5,23.8599868334431,20.4,91.2,2.61
6,22.5083469387755,19.7,84.7,2.26
7,7.54085121790652,4.57,42.1,0.698
8,1.63423436471363,1.13,12,0.373
9,1.15180340136054,0.878,15.3,0.242
10,2.4235630810093,1.605,69,0.284
11,4.5088282967033,2.44,104,0.13
12,2.94117505030181,1.65,92.6,0.12
13,6.86252568637359,2.33,104,0.12
