"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","Longterm"
"mean",2.38970833333333,2.2542637283237,3.01078999341672,7.76771428571429,23.8599868334431,22.5083469387755,7.54085121790652,1.63423436471363,1.15180340136054,2.4235630810093,4.5088282967033,2.94117505030181,6.86252568637359
"median",1.525,1.67,1.97,5.6,20.4,19.7,4.57,1.13,0.878,1.605,2.44,1.65,2.33
"max",96.2,32,65.8,46.5,91.2,84.7,42.1,12,15.3,69,104,92.6,104
"min",0.22,0.245,0.352,0.717,2.61,2.26,0.698,0.373,0.242,0.284,0.13,0.12,0.12
