"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1974,0.575666666666667,0.575666666666667,3.33066907387547e-16,0.575666666666667,5.78575982723011e-16,"annual_min_03day_sw"
1975,0.556666666666667,0.556666666666667,3.33066907387547e-16,0.556666666666667,5.98323785726132e-16,"annual_min_03day_sw"
1976,1.09333333333333,1.09333333333333,-3.5527136788005e-15,1.09333333333333,3.24943324280534e-15,"annual_min_03day_sw"
1977,0.562,0.562,1.11022302462516e-16,0.562,1.97548580894156e-16,"annual_min_03day_sw"
1978,0.778666666666667,0.778666666666667,2.22044604925031e-16,0.778666666666667,2.85160023448242e-16,"annual_min_03day_sw"
1979,0.525666666666667,0.525666666666667,2.22044604925031e-16,0.525666666666667,4.22405716407796e-16,"annual_min_03day_sw"
1980,0.709333333333333,0.709333333333333,-3.33066907387547e-16,0.709333333333333,4.69549211542594e-16,"annual_min_03day_sw"
1981,0.701,0.701,0,0.701,0,"annual_min_03day_sw"
1982,0.691,0.691,-2.22044604925031e-16,0.691,3.21338067908873e-16,"annual_min_03day_sw"
1983,0.498,0.498,0,0.498,0,"annual_min_03day_sw"
1984,0.576666666666667,0.576666666666667,3.33066907387547e-16,0.576666666666667,5.77572671770312e-16,"annual_min_03day_sw"
1985,0.397333333333333,0.397333333333333,-3.33066907387547e-16,0.397333333333333,8.38255639398189e-16,"annual_min_03day_sw"
1986,0.41,0.41,0,0.41,0,"annual_min_03day_sw"
1987,0.445666666666667,0.445666666666667,3.33066907387547e-16,0.445666666666667,7.47345341931668e-16,"annual_min_03day_sw"
1988,0.228333333333333,0.228333333333333,-3.05311331771918e-16,0.228333333333333,1.33712992016899e-15,"annual_min_03day_sw"
1989,0.615333333333333,0.615333333333333,-3.33066907387547e-16,0.615333333333333,5.4127883107402e-16,"annual_min_03day_sw"
1990,0.683333333333333,0.683333333333333,-2.22044604925031e-16,0.683333333333333,3.24943324280534e-16,"annual_min_03day_sw"
1991,0.683666666666667,0.683666666666667,2.22044604925031e-16,0.683666666666667,3.24784892625594e-16,"annual_min_03day_sw"
1992,0.456,0.456,0,0.456,0,"annual_min_03day_sw"
1993,0.323333333333333,0.323333333333333,-3.33066907387547e-16,0.323333333333333,1.03010383728107e-15,"annual_min_03day_sw"
1994,0.193333333333333,0.193333333333333,-3.60822483003176e-16,0.193333333333333,1.86632318794746e-15,"annual_min_03day_sw"
1995,0.529666666666667,0.529666666666667,3.33066907387547e-16,0.529666666666667,6.28823613695809e-16,"annual_min_03day_sw"
1996,0.698666666666667,0.698666666666667,4.44089209850063e-16,0.698666666666667,6.35623869060204e-16,"annual_min_03day_sw"
1997,0.596666666666667,0.596666666666667,3.33066907387547e-16,0.596666666666667,5.58212693945609e-16,"annual_min_03day_sw"
1998,0.416333333333333,0.416333333333333,-2.77555756156289e-16,0.416333333333333,6.66667148493889e-16,"annual_min_03day_sw"
1999,1.18333333333333,1.18333333333333,-3.33066907387547e-15,1.18333333333333,2.81464992158491e-15,"annual_min_03day_sw"
2000,0.783333333333333,0.783333333333333,-3.33066907387547e-16,0.783333333333333,4.25191796664954e-16,"annual_min_03day_sw"
2001,0.437666666666667,0.437666666666667,3.33066907387547e-16,0.437666666666667,7.61005881311988e-16,"annual_min_03day_sw"
2002,0.576666666666667,0.576666666666667,3.33066907387547e-16,0.576666666666667,5.77572671770312e-16,"annual_min_03day_sw"
2003,0.368333333333333,0.368333333333333,-3.33066907387547e-16,0.368333333333333,9.0425404720601e-16,"annual_min_03day_sw"
2004,0.481666666666667,0.481666666666667,3.88578058618805e-16,0.481666666666667,8.06736453879871e-16,"annual_min_03day_sw"
2005,0.412333333333333,0.412333333333333,-3.88578058618805e-16,0.412333333333333,9.42388177733561e-16,"annual_min_03day_sw"
2006,0.328333333333333,0.328333333333333,-3.88578058618805e-16,0.328333333333333,1.18348647295068e-15,"annual_min_03day_sw"
2007,0.618333333333333,0.618333333333333,-3.33066907387547e-16,0.618333333333333,5.38652680411127e-16,"annual_min_03day_sw"
2008,0.69,0.69,-1.11022302462516e-16,0.69,1.60901887626834e-16,"annual_min_03day_sw"
2009,0.385333333333333,0.385333333333333,-3.88578058618805e-16,0.385333333333333,1.00842056734984e-15,"annual_min_03day_sw"
2010,0.858666666666667,0.858666666666667,3.33066907387547e-16,0.858666666666667,3.87888479100404e-16,"annual_min_03day_sw"
2011,0.829666666666667,0.829666666666667,3.33066907387547e-16,0.829666666666667,4.01446654143287e-16,"annual_min_03day_sw"
2012,0.458666666666667,0.458666666666667,2.77555756156289e-16,0.458666666666667,6.05136096270979e-16,"annual_min_03day_sw"
2013,0.589,0.589,-1.11022302462516e-16,0.589,1.88492873450791e-16,"annual_min_03day_sw"
2014,0.149,0.149,-2.77555756156289e-17,0.149,1.86279030977375e-16,"annual_min_03day_sw"
1968,257,257,0,257,0,"annual_mindoy_03day_sw"
1969,256,256,0,256,0,"annual_mindoy_03day_sw"
1970,18,18,0,18,0,"annual_mindoy_03day_sw"
1971,365,365,0,365,0,"annual_mindoy_03day_sw"
1972,1,1,0,1,0,"annual_mindoy_03day_sw"
1973,261,261,0,261,0,"annual_mindoy_03day_sw"
1974,358,358,0,358,0,"annual_mindoy_03day_sw"
1975,13,13,0,13,0,"annual_mindoy_03day_sw"
1976,290,290,0,290,0,"annual_mindoy_03day_sw"
1977,235,235,0,235,0,"annual_mindoy_03day_sw"
1978,365,365,0,365,0,"annual_mindoy_03day_sw"
1979,270,270,0,270,0,"annual_mindoy_03day_sw"
1980,245,245,0,245,0,"annual_mindoy_03day_sw"
1981,263,263,0,263,0,"annual_mindoy_03day_sw"
1982,267,267,0,267,0,"annual_mindoy_03day_sw"
1983,290,290,0,290,0,"annual_mindoy_03day_sw"
1984,366,366,0,366,0,"annual_mindoy_03day_sw"
1985,71,71,0,71,0,"annual_mindoy_03day_sw"
1986,51,51,0,51,0,"annual_mindoy_03day_sw"
1987,284,284,0,284,0,"annual_mindoy_03day_sw"
1988,7,7,0,7,0,"annual_mindoy_03day_sw"
1989,282,282,0,282,0,"annual_mindoy_03day_sw"
1990,52,52,0,52,0,"annual_mindoy_03day_sw"
1991,288,288,0,288,0,"annual_mindoy_03day_sw"
1992,247,247,0,247,0,"annual_mindoy_03day_sw"
1993,330,330,0,330,0,"annual_mindoy_03day_sw"
1994,341,341,0,341,0,"annual_mindoy_03day_sw"
1995,271,271,0,271,0,"annual_mindoy_03day_sw"
1996,242,242,0,242,0,"annual_mindoy_03day_sw"
1997,26,26,0,26,0,"annual_mindoy_03day_sw"
1998,261,261,0,261,0,"annual_mindoy_03day_sw"
1999,267,267,0,267,0,"annual_mindoy_03day_sw"
2000,349,349,0,349,0,"annual_mindoy_03day_sw"
2001,269,269,0,269,0,"annual_mindoy_03day_sw"
2002,305,305,0,305,0,"annual_mindoy_03day_sw"
2003,249,249,0,249,0,"annual_mindoy_03day_sw"
2004,232,232,0,232,0,"annual_mindoy_03day_sw"
2005,228,228,0,228,0,"annual_mindoy_03day_sw"
2006,255,255,0,255,0,"annual_mindoy_03day_sw"
2007,259,259,0,259,0,"annual_mindoy_03day_sw"
2008,29,29,0,29,0,"annual_mindoy_03day_sw"
2009,245,245,0,245,0,"annual_mindoy_03day_sw"
2010,238,238,0,238,0,"annual_mindoy_03day_sw"
2011,259,259,0,259,0,"annual_mindoy_03day_sw"
2012,286,286,0,286,0,"annual_mindoy_03day_sw"
2013,258,258,0,258,0,"annual_mindoy_03day_sw"
2014,330,330,0,330,0,"annual_mindoy_03day_sw"
1968,0.910142857142857,0.910142857142857,0,0.910142857142857,0,"annual_min_07day_sw"
1969,0.665,0.665,0,0.665,0,"annual_min_07day_sw"
1970,0.4,0.4,0,0.4,0,"annual_min_07day_sw"
1971,0.299,0.299,0,0.299,0,"annual_min_07day_sw"
1972,0.293714285714286,0.293714285714286,2.77555756156289e-16,0.293714285714286,9.4498555111577e-16,"annual_min_07day_sw"
1973,0.449714285714286,0.449714285714286,3.33066907387547e-16,0.449714285714286,7.40618917316654e-16,"annual_min_07day_sw"
1974,0.592714285714286,0.592714285714286,2.22044604925031e-16,0.592714285714286,3.74623339232398e-16,"annual_min_07day_sw"
1975,0.602857142857143,0.602857142857143,1.11022302462516e-16,0.602857142857143,1.84160217354884e-16,"annual_min_07day_sw"
1976,1.09428571428571,1.09428571428571,-4.21884749357559e-15,1.09428571428571,3.85534366253645e-15,"annual_min_07day_sw"
1977,0.573285714285714,0.573285714285714,-3.33066907387547e-16,0.573285714285714,5.8097890648214e-16,"annual_min_07day_sw"
1978,0.849571428571429,0.849571428571429,4.44089209850063e-16,0.849571428571429,5.22721450975355e-16,"annual_min_07day_sw"
1979,0.539428571428571,0.539428571428571,-4.44089209850063e-16,0.539428571428571,8.23258598768654e-16,"annual_min_07day_sw"
1980,0.819571428571429,0.819571428571429,3.33066907387547e-16,0.819571428571429,4.0639155511815e-16,"annual_min_07day_sw"
1981,0.734428571428571,0.734428571428571,-4.44089209850063e-16,0.734428571428571,6.04673112030819e-16,"annual_min_07day_sw"
1982,0.736428571428571,0.736428571428571,-4.44089209850063e-16,0.736428571428571,6.03030934810948e-16,"annual_min_07day_sw"
1983,0.51,0.51,0,0.51,0,"annual_min_07day_sw"
